StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_Rank_Order_1,Q3_Rank_Order_2,Q3_Rank_Order_3,Q3_Rank_Order_4,Q3_Rank_Order_5,Q4_Constant_Sum_1,Q4_Constant_Sum_2,Q4_Constant_Sum_3,Q4_Constant_Sum_4,Q5_Matrix_table_1,Q5_Matrix_table_2,Q5_Matrix_table_3,Q5_Matrix_table_4,Q5_Matrix_table_5,Q6_Bipolar_scale_1,Q6_Bipolar_scale_2,Q6_Bipolar_scale_3,Q7_MC_sa_country,Q7_MC_sa_country_3_TEXT,Q8_MC_SA_Likert_Time,Q9_MC_ma_1,Q9_MC_ma_2,Q9_MC_ma_3,Q9_MC_ma_4,Q10_Slider_1,Q11_Open_ended_EUR_1,Q12_cond_question,Q13_YES_following_q,Q17_1,Q18,Q19,Q21#1_1_1,Q21#2_1_1,Q23_Gender,Q23_Gender_3_TEXT,Q24,Condition
,,,,,,,,,,,,,,,,,1,3,2,4,5,20,30,10,40,3,3,2,5,5,,,,1,,4, ,1,1, ,28,127,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,2,5,4,3,20,20,20,40,5,4,1,3,3,,,,2,,2, ,, ,1,34,4,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,2,3,1,4,5,10,20,30,40,4,2,4,5,2,,,,2,,1, ,1, , ,23,31,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,3,2,1,5,4,10,40,30,20,3,1,4,2,3,,,,1,,4,1,,1, ,32,108,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,50,50,0,5,4,1,1,2,,,,2,,5, , ,1,1,54,90,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,2,3,4,5,1,30,20,20,30,4,3,5,3,3,,,,1,,4,1,1, , ,57,22,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,2,3,1,4,5,20,20,20,40,4,2,3,5,4,,,,1,,4, ,,1, ,40,161,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,3,2,1,5,4,20,20,30,30,3,4,5,3,1,,,,2,,5,1,, , ,37,175,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,2,4,1,5,3,20,30,30,20,4,1,3,4,3,,,,2,,1,1, ,1, ,50,153,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,1,3,5,2,4,10,20,40,30,2,3,2,1,2,,,,2,,1,1,1,1, ,29,69,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,1,2,4,5,3,0,50,0,50,4,1,2,2,1,,,,2,,4,1,, ,1,72,146,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,2,1,3,4,5,20,20,20,40,5,2,3,1,3,,,,2,,1, , , ,1,18,1,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,1,3,2,4,5,10,20,30,40,2,2,5,1,5,,,,2,,3, ,1,1, ,43,54,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,30,30,40,4,3,1,1,1,,,,1,,5,1, ,1, ,62,175,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,1,2,5,4,3,30,30,20,20,1,3,1,4,5,,,,2,,4, ,1,1,1,34,139,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,2,3,1,4,5,15,25,20,40,4,3,1,3,4,,,,1,,3, , , , ,29,46,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,3,2,1,5,4,0,30,50,20,3,1,5,2,3,,,,1,,2,1,1,1,1,29,154,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,1,3,2,4,5,30,30,10,30,3,5,2,4,4,,,,1,,5,1,1,1, ,28,170,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,2,3,4,5,1,20,20,10,50,1,2,5,5,2,,,,2,,2,1, ,1, ,39,31,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,2,3,1,4,5,10,20,30,40,4,2,3,3,3,,,,2,,1,1,1, ,1,23,11,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,3,2,1,5,4,0,100,0,0,4,4,3,3,4,,,,2,,5,1,,1,,68,68,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,2,4,1,5,3,20,20,50,10,2,1,4,3,1,,,,2,,2,1, ,1,,31,32,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,1,3,5,2,4,20,20,20,40,4,4,5,5,1,,,,2,,5, , ,1,,34,112,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,1,2,4,5,3,0,30,40,30,1,5,5,3,5,,,,2,,5, , ,1, ,26,122,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,2,1,3,4,5,0,50,30,20,2,5,1,5,5,,,,2,,3,1, ,1,1,34,107,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,1,3,2,4,5,20,30,30,20,3,3,4,5,1,,,,2,,5,1,1,1,1,23,114,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,1,3,2,4,5,30,40,20,10,4,3,2,1,5,,,,2,,5, ,1,1, ,42,121,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,1,2,5,4,3,10,10,50,30,4,1,3,2,5,,,,2,,4,1,1,1, ,29,96,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,2,3,1,4,5,0,40,40,20,2,5,2,4,4,,,,1,,3, , ,1, ,20,199,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,3,2,1,5,4,40,30,10,20,2,2,2,5,5,,,,1,,4, , , , ,30,100,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,50,50,0,3,3,2,2,3,,,,1,,4,1, ,1, ,45,164,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,2,3,4,5,1,20,20,20,40,4,3,3,1,4,,,,2,,1, ,1, ,1,31,9,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,2,3,1,4,5,0,30,40,30,5,4,5,2,3,,,,1,,5,1,1, , ,25,150,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,3,2,1,5,4,10,30,20,40,2,4,4,3,2,,,,2,,3, , ,1,1,33,166,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,2,4,1,5,3,20,20,40,20,4,1,2,4,2,,,,2,,2,1,1,1,,44,169,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,1,3,5,2,4,0,0,0,100,5,4,1,1,4,,,,2,,1,1,1,1, ,54,108,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,1,2,4,5,3,20,30,30,20,3,1,4,4,4,,,,2,,1,1, , ,1,21,103,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,2,1,3,4,5,30,40,20,10,2,4,4,2,4,,,,2,,4,1,1, ,,19,78,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,10,10,50,30,2,1,2,2,4,,,,2,,1,1, ,1,1,43,136,,,,,,,,2,,1,
