"","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","lambda","alpha","rmse","trees"
"94",0.3,5,3,0.5,0.5,1,100,0,24968.6,562
"95",0.3,5,3,0.5,0.5,10,100,0,24968.6,562
"96",0.3,5,3,0.5,0.5,100,100,0,24968.6007813,562
"97",0.3,5,3,0.5,0.5,1000,100,0,24977.526953,561
"98",0.3,7,3,0.5,0.5,100,100,0,25030.0886719,1669
"99",0.3,7,3,0.5,0.5,1000,100,0,25053.3257812,1669
"100",0.3,7,3,0.5,0.5,0,100,0,25057.2783202,1588
"101",0.3,7,3,0.5,0.5,1,100,0,25081.6937501,1243
"102",0.3,7,3,0.5,0.5,10,100,0,25104.9765625,1097
"103",0.3,3,3,0.5,0.5,0,1,0,25851.4083984,126
"104",0.3,3,3,0.5,0.5,10,1,0,25851.4083984,126
"105",0.3,3,3,0.5,0.5,100,1,0,25851.4083984,126
"106",0.3,3,3,0.5,0.5,1000,1,0,25851.4083984,126
"107",0.3,3,3,0.5,0.5,1,1,0,25851.4085937,126
"108",0.5,1,3,0.5,0.5,0,1,0,25866.5031251,502
"109",0.5,1,3,0.5,0.5,1,1,0,25866.5031251,502
"110",0.5,1,3,0.5,0.5,10,1,0,25866.5031251,502
"111",0.5,1,3,0.5,0.5,100,1,0,25866.5031251,502
"112",0.5,1,3,0.5,0.5,1000,1,0,25866.5031251,502
"113",0.3,5,3,0.5,0.5,1,1,0,26384.4628906,119
"114",0.3,5,3,0.5,0.5,0,1,0,26384.4630859,119
"115",0.3,5,3,0.5,0.5,10,1,0,26384.4630859,119
"116",0.3,5,3,0.5,0.5,100,1,0,26384.4630859,119
"117",0.3,5,3,0.5,0.5,1000,1,0,26384.4630859,119
"118",0.5,3,3,0.5,0.5,1,100,0,26485.0699219,482
"119",0.5,3,3,0.5,0.5,1000,100,0,26485.0699219,482
"120",0.5,3,3,0.5,0.5,0,100,0,26485.0701172,482
"121",0.5,3,3,0.5,0.5,10,100,0,26485.0701172,482
"122",0.5,3,3,0.5,0.5,100,100,0,26485.0701172,482
"123",0.3,1,3,0.5,0.5,0,0,0,26492.7724609,297
"124",0.3,1,3,0.5,0.5,1,0,0,26492.7724609,297
"125",0.3,1,3,0.5,0.5,10,0,0,26492.7724609,297
"126",0.3,1,3,0.5,0.5,100,0,0,26492.7724609,297
"127",0.3,1,3,0.5,0.5,1000,0,0,26492.7724609,297
"128",0.3,1,3,0.5,0.5,0,0.1,0,26568.7958984,300
"129",0.3,1,3,0.5,0.5,10,0.1,0,26568.7958984,300
"130",0.3,1,3,0.5,0.5,100,0.1,0,26568.7958984,300
"131",0.3,1,3,0.5,0.5,1000,0.1,0,26568.7958984,300
"132",0.3,1,3,0.5,0.5,1,0.1,0,26568.7960937,300
"133",0.5,1,3,0.5,0.5,100,100,0,26610.8841796,980
"134",0.5,1,3,0.5,0.5,0,100,0,26610.8843749,980
"135",0.5,1,3,0.5,0.5,1,100,0,26610.8843749,980
"136",0.5,1,3,0.5,0.5,10,100,0,26610.8843749,980
"137",0.5,1,3,0.5,0.5,1000,100,0,26610.8843749,980
"138",0.3,1,3,0.5,0.5,0,0.01,0,26618.4218748,293
"139",0.3,1,3,0.5,0.5,1,0.01,0,26618.4218748,293
"140",0.3,1,3,0.5,0.5,10,0.01,0,26618.4218748,293
"141",0.3,1,3,0.5,0.5,100,0.01,0,26618.4218748,293
"142",0.3,1,3,0.5,0.5,1000,0.01,0,26618.4218748,293
"143",0.5,1,3,0.5,0.5,0,0.1,0,26645.1476562,400
"144",0.5,1,3,0.5,0.5,1,0.1,0,26645.1476562,400
"145",0.5,1,3,0.5,0.5,10,0.1,0,26645.1476562,400
"146",0.5,1,3,0.5,0.5,100,0.1,0,26645.1476562,400
"147",0.5,1,3,0.5,0.5,1000,0.1,0,26645.1476562,400
"148",0.3,3,3,0.5,0.5,0,0,0,26660.9603516,136
"149",0.3,3,3,0.5,0.5,1,0,0,26660.9603516,136
"150",0.3,3,3,0.5,0.5,10,0,0,26660.9603516,136
"151",0.3,3,3,0.5,0.5,100,0,0,26660.9603516,136
"152",0.3,3,3,0.5,0.5,1000,0,0,26660.9603516,136
"153",0.3,1,3,0.5,0.5,0,1,0,26687.1976562,196
"154",0.3,1,3,0.5,0.5,1,1,0,26687.1976562,196
"155",0.3,1,3,0.5,0.5,10,1,0,26687.1976562,196
"156",0.3,1,3,0.5,0.5,100,1,0,26687.1976562,196
"157",0.3,1,3,0.5,0.5,1000,1,0,26687.1976562,196
"158",0.3,5,3,0.5,0.5,0,0.1,0,26795.9441406,112
"159",0.3,5,3,0.5,0.5,10,0.1,0,26795.9441406,112
"160",0.3,5,3,0.5,0.5,1,0.1,0,26795.9443359,112
"161",0.3,5,3,0.5,0.5,100,0.1,0,26795.9443359,112
"162",0.3,5,3,0.5,0.5,1000,0.1,0,26795.9443359,112
"163",0.3,5,3,0.5,0.5,0,0,0,26908.2874999,29
"164",0.3,5,3,0.5,0.5,1,0,0,26908.2874999,29
"165",0.3,5,3,0.5,0.5,10,0,0,26908.2874999,29
"166",0.3,5,3,0.5,0.5,100,0,0,26908.2874999,29
"167",0.3,5,3,0.5,0.5,1000,0,0,26908.2878905,29
"168",0.3,3,3,0.5,0.5,0,0.01,0,27095.3496093,235
"169",0.3,3,3,0.5,0.5,10,0.01,0,27095.3496093,235
"170",0.3,3,3,0.5,0.5,1,0.01,0,27095.3499999,235
"171",0.3,3,3,0.5,0.5,100,0.01,0,27095.3499999,235
"172",0.3,3,3,0.5,0.5,1000,0.01,0,27095.3501952,235
"173",0.5,1,3,0.5,0.5,0,0.01,0,27156.4880859,297
"174",0.5,1,3,0.5,0.5,10,0.01,0,27156.4880859,297
"175",0.5,1,3,0.5,0.5,100,0.01,0,27156.4880859,297
"176",0.5,1,3,0.5,0.5,1,0.01,0,27156.4882812,297
"177",0.5,1,3,0.5,0.5,1000,0.01,0,27156.4882812,297
"178",0.3,1,3,0.5,0.5,0,100,0,27179.9507813,671
"179",0.3,1,3,0.5,0.5,1,100,0,27179.9507813,671
"180",0.3,1,3,0.5,0.5,10,100,0,27179.9507813,671
"181",0.3,1,3,0.5,0.5,100,100,0,27179.9507813,671
"182",0.3,1,3,0.5,0.5,1000,100,0,27179.9507813,671
"183",0.5,1,3,0.5,0.5,0,1000,0,27203.4966796,1486
"184",0.5,1,3,0.5,0.5,1,1000,0,27203.4966796,1486
"185",0.5,1,3,0.5,0.5,10,1000,0,27203.4966796,1486
"186",0.3,5,3,0.5,0.5,1,0.01,0,27209.8060548,62
"187",0.3,5,3,0.5,0.5,10,0.01,0,27209.8060548,62
"188",0.3,5,3,0.5,0.5,0,0.01,0,27209.8062501,62
"189",0.3,5,3,0.5,0.5,100,0.01,0,27209.8062501,62
"190",0.3,5,3,0.5,0.5,1000,0.01,0,27209.8062501,62
"191",0.01,1,3,0.5,0.5,100,1,0,27307.2369141,2941
"192",0.01,1,3,0.5,0.5,0,1,0,27307.2371094,2941
"193",0.01,1,3,0.5,0.5,1,1,0,27307.2371094,2941
"194",0.01,1,3,0.5,0.5,10,1,0,27307.2371094,2941
"195",0.01,1,3,0.5,0.5,1000,1,0,27307.2371094,2941
"196",0.3,3,3,0.5,0.5,0,0.1,0,27310.4652344,111
"197",0.3,3,3,0.5,0.5,1000,0.1,0,27310.4654297,111
"198",0.3,3,3,0.5,0.5,1,0.1,0,27310.465625,111
"199",0.3,3,3,0.5,0.5,100,0.1,0,27310.465625,111
"200",0.3,3,3,0.5,0.5,10,0.1,0,27310.4658203,111
"201",0.5,5,3,0.5,0.5,1000,100,0,27458.4482422,479
"202",0.5,5,3,0.5,0.5,0,100,0,27470.4027344,477
"203",0.5,5,3,0.5,0.5,1,100,0,27470.403125,477
"204",0.5,5,3,0.5,0.5,10,100,0,27470.403125,477
"205",0.5,5,3,0.5,0.5,100,100,0,27470.403125,477
"206",0.3,7,3,0.5,0.5,10,1,0,27490.6687499,17
"207",0.3,7,3,0.5,0.5,1000,1,0,27490.6687499,17
"208",0.3,7,3,0.5,0.5,0,1,0,27490.6689452,17
"209",0.3,7,3,0.5,0.5,1,1,0,27490.6689452,17
"210",0.3,7,3,0.5,0.5,100,1,0,27490.6689452,17
"211",0.01,1,3,0.5,0.5,0,0,0,27550.5507813,2628
"212",0.01,1,3,0.5,0.5,1,0,0,27550.5507813,2628
"213",0.01,1,3,0.5,0.5,10,0,0,27550.5507813,2628
"214",0.01,1,3,0.5,0.5,100,0,0,27550.5507813,2628
"215",0.01,1,3,0.5,0.5,1000,0,0,27550.5507813,2628
"216",0.01,1,3,0.5,0.5,0,0.1,0,27554.4283204,2628
"217",0.01,1,3,0.5,0.5,1,0.1,0,27554.4283204,2628
"218",0.01,1,3,0.5,0.5,10,0.1,0,27554.4283204,2628
"219",0.01,1,3,0.5,0.5,100,0.1,0,27554.4283204,2628
"220",0.01,1,3,0.5,0.5,1000,0.1,0,27554.4285157,2628
"221",0.01,1,3,0.5,0.5,1,0.01,0,27555.5123047,2628
"222",0.01,1,3,0.5,0.5,10,0.01,0,27555.5123047,2628
"223",0.01,1,3,0.5,0.5,0,0.01,0,27555.5125,2628
"224",0.01,1,3,0.5,0.5,100,0.01,0,27555.5125,2628
"225",0.01,1,3,0.5,0.5,1000,0.01,0,27555.5125,2628
"226",0.5,1,3,0.5,0.5,1,0,0,27557.8146486,252
"227",0.5,1,3,0.5,0.5,100,0,0,27557.8146486,252
"228",0.5,1,3,0.5,0.5,0,0,0,27557.8148439,252
"229",0.5,1,3,0.5,0.5,1000,0,0,27557.8148439,252
"230",0.5,1,3,0.5,0.5,10,0,0,27557.814844,252
"231",0.5,7,3,0.5,0.5,10,100,0,27565.4333984,1094
"232",0.5,7,3,0.5,0.5,1,100,0,27577.2888672,943
"233",0.5,7,3,0.5,0.5,0,100,0,27578.3300783,918
"234",0.5,7,3,0.5,0.5,1000,100,0,27585.9060547,855
"235",0.3,1,3,0.5,0.5,0,1000,0,27601.7845703,1578
"236",0.3,1,3,0.5,0.5,1,1000,0,27601.7845703,1578
"237",0.3,1,3,0.5,0.5,10,1000,0,27601.7845703,1578
"238",0.5,7,3,0.5,0.5,100,100,0,27788.2183594,299
"239",0.3,7,3,0.5,0.5,10,0.01,0,28222.8779297,31
"240",0.3,7,3,0.5,0.5,0,0.01,0,28222.878125,31
"241",0.3,7,3,0.5,0.5,1,0.01,0,28222.878125,31
"242",0.3,7,3,0.5,0.5,100,0.01,0,28222.878125,31
"243",0.3,7,3,0.5,0.5,1000,0.01,0,28222.878125,31
"244",0.3,7,3,0.5,0.5,1,0.1,0,28355.8070313,76
"245",0.3,7,3,0.5,0.5,100,0.1,0,28355.8070313,76
"246",0.3,7,3,0.5,0.5,1000,0.1,0,28355.8070313,76
"247",0.3,7,3,0.5,0.5,0,0.1,0,28355.8072266,76
"248",0.3,7,3,0.5,0.5,10,0.1,0,28355.8072266,76
"249",0.5,3,3,0.5,0.5,0,1,0,28729.8531251,72
"250",0.5,3,3,0.5,0.5,1,1,0,28729.8531251,72
"251",0.5,3,3,0.5,0.5,10,1,0,28729.8531251,72
"252",0.5,3,3,0.5,0.5,100,1,0,28729.8531251,72
"253",0.5,3,3,0.5,0.5,1000,1,0,28729.8531251,72
"254",0.3,7,3,0.5,0.5,0,0,0,28846.9046875,31
"255",0.3,7,3,0.5,0.5,1,0,0,28846.9046875,31
"256",0.3,7,3,0.5,0.5,10,0,0,28846.9046875,31
"257",0.3,7,3,0.5,0.5,100,0,0,28846.9046875,31
"258",0.3,7,3,0.5,0.5,1000,0,0,28846.9046875,31
"259",0.5,3,3,0.5,0.5,0,0.01,0,29014.8810546,74
"260",0.5,3,3,0.5,0.5,1,0.01,0,29014.8810546,74
"261",0.5,3,3,0.5,0.5,1000,0.01,0,29014.8810546,74
"262",0.5,3,3,0.5,0.5,10,0.01,0,29014.8812499,74
"263",0.5,3,3,0.5,0.5,100,0.01,0,29014.8812499,74
"264",0.01,1,3,0.5,0.5,0,100,0,29358.3388672,4000
"265",0.01,1,3,0.5,0.5,1,100,0,29358.3388672,4000
"266",0.01,1,3,0.5,0.5,10,100,0,29358.3388672,4000
"267",0.01,1,3,0.5,0.5,100,100,0,29358.3388672,4000
"268",0.01,1,3,0.5,0.5,1000,100,0,29358.3390625,4000
"269",0.01,5,3,0.5,0.5,0,1000,0,29971.9988282,4000
"270",0.01,5,3,0.5,0.5,1,1000,0,29971.9988282,4000
"271",0.01,7,3,0.5,0.5,1,1000,0,29989.8341798,4000
"272",0.01,7,3,0.5,0.5,0,1000,0,29989.8343751,4000
"273",0.5,3,3,0.5,0.5,10,0.1,0,30013.7851562,25
"274",0.5,3,3,0.5,0.5,1000,0.1,0,30013.7851562,25
"275",0.5,3,3,0.5,0.5,0,0.1,0,30013.7853515,25
"276",0.5,3,3,0.5,0.5,1,0.1,0,30013.7853515,25
"277",0.5,3,3,0.5,0.5,100,0.1,0,30013.7853515,25
"278",0.5,5,3,0.5,0.5,0,1,0,30277.2671875,30
"279",0.5,5,3,0.5,0.5,10,1,0,30277.2671875,30
"280",0.5,5,3,0.5,0.5,1,1,0,30277.2673828,30
"281",0.5,5,3,0.5,0.5,100,1,0,30277.2673828,30
"282",0.5,5,3,0.5,0.5,1000,1,0,30277.2673828,30
"283",0.01,3,3,0.5,0.5,0,1000,0,30503.3166017,4000
"284",0.01,3,3,0.5,0.5,1,1000,0,30503.3166017,4000
"285",0.01,3,3,0.5,0.5,10,1000,0,30503.3166017,4000
"286",0.5,3,3,0.5,0.5,0,0,0,30552.5587889,40
"287",0.5,3,3,0.5,0.5,1,0,0,30552.5587889,40
"288",0.5,3,3,0.5,0.5,10,0,0,30552.5587889,40
"289",0.5,3,3,0.5,0.5,100,0,0,30552.5587889,40
"290",0.5,3,3,0.5,0.5,1000,0,0,30552.5587889,40
"291",0.5,5,3,0.5,0.5,0,0.1,0,30859.2507811,16
"292",0.5,5,3,0.5,0.5,1,0.1,0,30859.2509764,16
"293",0.5,5,3,0.5,0.5,10,0.1,0,30859.2509764,16
"294",0.5,5,3,0.5,0.5,1000,0.1,0,30859.2509764,16
"295",0.5,5,3,0.5,0.5,100,0.1,0,30859.2511717,16
"296",0.5,7,3,0.5,0.5,1,1,0,31129.2410157,14
"297",0.5,7,3,0.5,0.5,100,1,0,31129.2410157,14
"298",0.5,7,3,0.5,0.5,1000,1,0,31129.2410157,14
"299",0.5,7,3,0.5,0.5,0,1,0,31129.241211,14
"300",0.5,7,3,0.5,0.5,10,1,0,31129.241211,14
"301",0.5,5,3,0.5,0.5,1,0.01,0,31435.8310546,13
"302",0.5,5,3,0.5,0.5,10,0.01,0,31435.8310546,13
"303",0.5,5,3,0.5,0.5,1000,0.01,0,31435.8310546,13
"304",0.5,5,3,0.5,0.5,0,0.01,0,31435.8314453,13
"305",0.5,5,3,0.5,0.5,100,0.01,0,31435.8314453,13
"306",0.5,7,3,0.5,0.5,1,0.1,0,32097.8835937,10
"307",0.5,7,3,0.5,0.5,0,0.1,0,32097.883789,10
"308",0.5,7,3,0.5,0.5,10,0.1,0,32097.883789,10
"309",0.5,7,3,0.5,0.5,100,0.1,0,32097.883789,10
"310",0.5,7,3,0.5,0.5,1000,0.1,0,32097.883789,10
"311",0.5,5,3,0.5,0.5,0,0,0,32715.913672,30
"312",0.5,5,3,0.5,0.5,1,0,0,32715.913672,30
"313",0.5,5,3,0.5,0.5,10,0,0,32715.9140626,30
"314",0.5,5,3,0.5,0.5,100,0,0,32715.9140626,30
"315",0.5,5,3,0.5,0.5,1000,0,0,32715.9140626,30
"316",0.5,7,3,0.5,0.5,0,0,0,33792.247461,13
"317",0.5,7,3,0.5,0.5,1,0,0,33792.247461,13
"318",0.5,7,3,0.5,0.5,10,0,0,33792.247461,13
"319",0.5,7,3,0.5,0.5,1000,0,0,33792.2476563,13
"320",0.5,7,3,0.5,0.5,100,0,0,33792.2478516,13
"321",0.5,7,3,0.5,0.5,1,0.01,0,34311.5650392,12
"322",0.5,7,3,0.5,0.5,1000,0.01,0,34311.5652345,12
"323",0.5,7,3,0.5,0.5,100,0.01,0,34311.5654298,12
"324",0.5,7,3,0.5,0.5,0,0.01,0,34311.5658205,12
"325",0.5,7,3,0.5,0.5,10,0.01,0,34311.5658205,12
"326",0.01,1,3,0.5,0.5,1,1000,0,35799.3367188,4000
"327",0.01,1,3,0.5,0.5,0,1000,0,35799.3369142,4000
"328",0.01,1,3,0.5,0.5,10,1000,0,35799.3369142,4000
