"","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","lambda","alpha","rmse","trees"
"146",0.01,3,3,0.5,0.5,1000,100,0.1,23262.6708985,3999
"147",0.01,3,3,0.5,0.5,0,100,0.1,23262.6710938,3999
"148",0.01,3,3,0.5,0.5,1,100,0.1,23262.6710938,3999
"149",0.01,3,3,0.5,0.5,10,100,0.1,23262.6710938,3999
"150",0.01,3,3,0.5,0.5,100,100,0.1,23262.6712891,3999
"151",0.01,3,3,0.5,0.5,0,100,0,23262.6759765,3999
"152",0.01,3,3,0.5,0.5,10,100,0,23262.6759765,3999
"153",0.01,3,3,0.5,0.5,1000,100,0,23262.6759765,3999
"154",0.01,3,3,0.5,0.5,1,100,0,23262.6761718,3999
"155",0.01,3,3,0.5,0.5,100,100,0,23262.6761718,3999
"156",0.01,3,3,0.5,0.5,0,100,0.01,23262.6761718,3999
"157",0.01,3,3,0.5,0.5,10,100,0.01,23262.6761718,3999
"158",0.01,3,3,0.5,0.5,1,100,0.01,23262.6763671,3999
"159",0.01,3,3,0.5,0.5,100,100,0.01,23262.6763671,3999
"160",0.01,3,3,0.5,0.5,1000,100,0.01,23262.6763671,3999
"161",0.01,3,3,0.5,0.5,0,100,1,23262.6794923,3999
"162",0.01,3,3,0.5,0.5,1,100,1,23262.6794923,3999
"163",0.01,3,3,0.5,0.5,10,100,1,23262.6794923,3999
"164",0.01,3,3,0.5,0.5,100,100,1,23262.6794923,3999
"165",0.01,3,3,0.5,0.5,1000,100,1,23262.6794923,3999
"166",0.01,3,3,0.5,0.5,0,100,100,23266.0482423,3999
"167",0.01,3,3,0.5,0.5,1,100,100,23266.0482423,3999
"168",0.01,3,3,0.5,0.5,10,100,100,23266.0482423,3999
"169",0.01,3,3,0.5,0.5,100,100,100,23266.0482423,3999
"170",0.01,3,3,0.5,0.5,1000,100,100,23266.0482423,3999
"171",0.01,3,3,0.5,0.5,0,100,1000,23275.6935546,3997
"172",0.01,3,3,0.5,0.5,1,100,1000,23275.6935546,3997
"173",0.01,3,3,0.5,0.5,10,100,1000,23275.6935546,3997
"174",0.01,3,3,0.5,0.5,100,100,1000,23275.6935546,3997
"175",0.01,3,3,0.5,0.5,1000,100,1000,23275.6935546,3997
"176",0.01,3,3,0.5,0.5,0,100,10000,23289.2621093,3997
"177",0.01,3,3,0.5,0.5,1,100,10000,23289.2621093,3997
"178",0.01,3,3,0.5,0.5,10,100,10000,23289.2621093,3997
"179",0.01,3,3,0.5,0.5,100,100,10000,23289.2621093,3997
"180",0.01,3,3,0.5,0.5,1000,100,10000,23289.2621093,3997
"181",0.3,3,3,0.5,0.5,0,1000,0,23375.6427734,1340
"182",0.3,3,3,0.5,0.5,1,1000,0,23375.6427734,1340
"183",0.3,3,3,0.5,0.5,100,1000,0,23375.6427734,1340
"184",0.3,3,3,0.5,0.5,1000,1000,0,23375.6427734,1340
"185",0.3,3,3,0.5,0.5,10,1000,0,23375.6429688,1340
"186",0.3,3,3,0.5,0.5,1000,1000,0.01,23375.6431641,1340
"187",0.3,3,3,0.5,0.5,0,1000,0.01,23375.6433594,1340
"188",0.3,3,3,0.5,0.5,10,1000,0.01,23375.6433594,1340
"189",0.3,3,3,0.5,0.5,100,1000,0.01,23375.6433594,1340
"190",0.3,3,3,0.5,0.5,1,1000,0.01,23375.6435547,1340
"191",0.3,3,3,0.5,0.5,0,1000,0.1,23375.644922,1340
"192",0.3,3,3,0.5,0.5,1,1000,0.1,23375.644922,1340
"193",0.3,3,3,0.5,0.5,10,1000,0.1,23375.644922,1340
"194",0.3,3,3,0.5,0.5,100,1000,0.1,23375.644922,1340
"195",0.3,3,3,0.5,0.5,1000,1000,0.1,23375.644922,1340
"196",0.3,3,3,0.5,0.5,0,1000,1,23375.6458984,1340
"197",0.3,3,3,0.5,0.5,1,1000,1,23375.6458984,1340
"198",0.3,3,3,0.5,0.5,10,1000,1,23375.6458984,1340
"199",0.3,3,3,0.5,0.5,100,1000,1,23375.6458984,1340
"200",0.3,3,3,0.5,0.5,1000,1000,1,23375.6460937,1340
"201",0.3,3,3,0.5,0.5,10,1000,100,23375.8904297,1340
"202",0.3,3,3,0.5,0.5,100,1000,100,23375.8904297,1340
"203",0.3,3,3,0.5,0.5,0,1000,100,23375.8908203,1340
"204",0.3,3,3,0.5,0.5,1,1000,100,23375.8908203,1340
"205",0.3,3,3,0.5,0.5,1000,1000,100,23375.8908203,1340
"206",0.3,3,3,0.5,0.5,1000,1000,10000,23459.1964846,1340
"207",0.3,3,3,0.5,0.5,1,1000,10000,23459.3560549,1340
"208",0.3,3,3,0.5,0.5,10,1000,10000,23459.3560549,1340
"209",0.3,3,3,0.5,0.5,0,1000,10000,23459.3564456,1340
"210",0.3,3,3,0.5,0.5,100,1000,10000,23459.3564456,1340
"211",5,3,3,0.5,0.5,1000,10000,1000,24014.5675781,960
"212",5,3,3,0.5,0.5,0,10000,1000,24014.6109375,960
"213",5,3,3,0.5,0.5,1,10000,1000,24014.6109375,960
"214",5,3,3,0.5,0.5,10,10000,1000,24014.6109375,960
"215",5,3,3,0.5,0.5,100,10000,1000,24014.6109375,960
"216",5,3,3,0.5,0.5,1000,10000,10000,24019.1097657,963
"217",5,3,3,0.5,0.5,0,10000,100,24033.6619141,968
"218",5,3,3,0.5,0.5,10,10000,100,24033.6619141,968
"219",5,3,3,0.5,0.5,1,10000,100,24033.6621094,968
"220",5,3,3,0.5,0.5,1000,10000,100,24033.6628906,968
"221",5,3,3,0.5,0.5,100,10000,100,24033.6634766,968
"222",5,3,3,0.5,0.5,0,10000,10000,24035.833789,963
"223",5,3,3,0.5,0.5,1,10000,10000,24035.833789,963
"224",5,3,3,0.5,0.5,10,10000,10000,24035.833789,963
"225",5,3,3,0.5,0.5,100,10000,10000,24035.833789,963
"226",0.3,3,3,0.5,0.5,0,100,1000,24053.0630859,803
"227",0.3,3,3,0.5,0.5,10,100,1000,24053.0630859,803
"228",0.3,3,3,0.5,0.5,100,100,1000,24053.0630859,803
"229",0.3,3,3,0.5,0.5,1,100,1000,24053.0632812,803
"230",0.3,3,3,0.5,0.5,1000,100,1000,24053.0632812,803
"231",0.3,3,3,0.5,0.5,1,100,0.01,24108.2830078,778
"232",0.3,3,3,0.5,0.5,100,100,0.01,24108.2830078,778
"233",0.3,3,3,0.5,0.5,1000,100,0.01,24108.2830078,778
"234",0.3,3,3,0.5,0.5,0,100,0.01,24108.2832032,778
"235",0.3,3,3,0.5,0.5,10,100,0.01,24108.2832032,778
"236",0.3,3,3,0.5,0.5,0,100,0.1,24108.2847656,778
"237",0.3,3,3,0.5,0.5,1,100,0.1,24108.2847656,778
"238",0.3,3,3,0.5,0.5,10,100,0.1,24108.2847656,778
"239",0.3,3,3,0.5,0.5,100,100,0.1,24108.2847656,778
"240",0.3,3,3,0.5,0.5,1000,100,0.1,24108.2847656,778
"241",0.3,3,3,0.5,0.5,1,100,0,24111.0335938,778
"242",0.3,3,3,0.5,0.5,1000,100,0,24111.0335938,778
"243",0.3,3,3,0.5,0.5,0,100,0,24111.0337891,778
"244",0.3,3,3,0.5,0.5,10,100,0,24111.0337891,778
"245",0.3,3,3,0.5,0.5,100,100,0,24111.0339844,778
"246",5,3,3,0.5,0.5,0,10000,0,24117.1482421,960
"247",5,3,3,0.5,0.5,1,10000,0,24117.1482421,960
"248",5,3,3,0.5,0.5,10,10000,0,24117.1482421,960
"249",5,3,3,0.5,0.5,0,10000,0.1,24117.1496094,960
"250",5,3,3,0.5,0.5,1,10000,0.1,24117.1496094,960
"251",5,3,3,0.5,0.5,10,10000,0.1,24117.1496094,960
"252",5,3,3,0.5,0.5,100,10000,0,24117.1501952,960
"253",5,3,3,0.5,0.5,1000,10000,0,24117.1503905,960
"254",5,3,3,0.5,0.5,100,10000,0.1,24117.1507813,960
"255",5,3,3,0.5,0.5,1000,10000,0.1,24117.1507813,960
"256",5,3,3,0.5,0.5,0,10000,0.01,24121.8658203,960
"257",5,3,3,0.5,0.5,1,10000,0.01,24121.8658203,960
"258",5,3,3,0.5,0.5,10,10000,0.01,24121.8660156,960
"259",5,3,3,0.5,0.5,0,10000,1,24121.8666014,960
"260",5,3,3,0.5,0.5,1,10000,1,24121.8666014,960
"261",5,3,3,0.5,0.5,10,10000,1,24121.8666014,960
"262",5,3,3,0.5,0.5,100,10000,0.01,24121.8671875,960
"263",5,3,3,0.5,0.5,100,10000,1,24121.8683592,960
"264",5,3,3,0.5,0.5,1000,10000,0.01,24121.9544922,960
"265",5,3,3,0.5,0.5,1000,10000,1,24121.9552733,960
"266",0.3,3,3,0.5,0.5,0,100,1,24162.3712891,550
"267",0.3,3,3,0.5,0.5,1,100,1,24162.3712891,550
"268",0.3,3,3,0.5,0.5,10,100,1,24162.3712891,550
"269",0.3,3,3,0.5,0.5,100,100,1,24162.3712891,550
"270",0.3,3,3,0.5,0.5,1000,100,1,24162.3712891,550
"271",0.3,3,3,0.5,0.5,0,100,10000,24260.8953124,675
"272",0.3,3,3,0.5,0.5,1,100,10000,24260.8953124,675
"273",0.3,3,3,0.5,0.5,10,100,10000,24260.8953124,675
"274",0.3,3,3,0.5,0.5,100,100,10000,24260.8953124,675
"275",0.3,3,3,0.5,0.5,1000,100,10000,24260.8953124,675
"276",0.3,3,3,0.5,0.5,0,100,100,24281.0039061,703
"277",0.3,3,3,0.5,0.5,1,100,100,24281.0039061,703
"278",0.3,3,3,0.5,0.5,10,100,100,24281.0039061,703
"279",0.3,3,3,0.5,0.5,100,100,100,24281.0039061,703
"280",0.3,3,3,0.5,0.5,1000,100,100,24281.0039061,703
"281",0.3,3,3,0.5,0.5,1,10000,1000,24418.0429687,3999
"282",0.3,3,3,0.5,0.5,0,10000,1000,24418.0431641,3999
"283",0.3,3,3,0.5,0.5,10,10000,1000,24418.0431641,3999
"284",0.3,3,3,0.5,0.5,100,10000,1000,24418.0439453,3999
"285",0.3,3,3,0.5,0.5,1000,10000,1000,24418.0488281,3999
"286",0.3,3,3,0.5,0.5,0,10000,1,24421.4597656,3999
"287",0.3,3,3,0.5,0.5,1,10000,1,24421.4597656,3999
"288",0.3,3,3,0.5,0.5,10,10000,1,24421.4597656,3999
"289",0.3,3,3,0.5,0.5,100,10000,1,24421.4597656,3999
"290",0.3,3,3,0.5,0.5,0,10000,0.01,24421.4605467,3999
"291",0.3,3,3,0.5,0.5,1,10000,0.01,24421.4605467,3999
"292",0.3,3,3,0.5,0.5,10,10000,0.01,24421.4605467,3999
"293",0.3,3,3,0.5,0.5,100,10000,0.01,24421.4605467,3999
"294",0.3,3,3,0.5,0.5,0,10000,0,24421.4619139,3999
"295",0.3,3,3,0.5,0.5,1,10000,0,24421.4619139,3999
"296",0.3,3,3,0.5,0.5,100,10000,0,24421.4619139,3999
"297",0.3,3,3,0.5,0.5,10,10000,0,24421.4621092,3999
"298",0.3,3,3,0.5,0.5,0,10000,0.1,24421.6660155,3999
"299",0.3,3,3,0.5,0.5,1,10000,0.1,24421.6660155,3999
"300",0.3,3,3,0.5,0.5,10,10000,0.1,24421.6660155,3999
"301",0.3,3,3,0.5,0.5,100,10000,0.1,24421.6660155,3999
"302",0.3,3,3,0.5,0.5,1000,10000,1,24422.066797,3999
"303",0.3,3,3,0.5,0.5,1000,10000,0.01,24422.0677733,3999
"304",0.3,3,3,0.5,0.5,1000,10000,0,24422.0693358,3999
"305",0.3,3,3,0.5,0.5,1000,10000,0.1,24422.2734375,3999
"306",0.3,3,3,0.5,0.5,1000,10000,100,24428.9513672,3999
"307",0.3,3,3,0.5,0.5,0,10000,100,24430.0021485,3999
"308",0.3,3,3,0.5,0.5,1,10000,100,24430.0021485,3999
"309",0.3,3,3,0.5,0.5,10,10000,100,24430.0021485,3999
"310",0.3,3,3,0.5,0.5,100,10000,100,24430.0021485,3999
"311",0.3,3,3,0.5,0.5,100,10000,10000,24433.1660155,3999
"312",0.3,3,3,0.5,0.5,0,10000,10000,24433.1722655,3999
"313",0.3,3,3,0.5,0.5,1,10000,10000,24433.1722655,3999
"314",0.3,3,3,0.5,0.5,10,10000,10000,24433.1722655,3999
"315",0.3,3,3,0.5,0.5,1000,10000,10000,24433.9578122,3999
"316",0.3,3,3,0.5,0.5,1,0.1,10000,25481.24375,96
"317",0.3,3,3,0.5,0.5,0,0.1,10000,25481.2439453,96
"318",0.3,3,3,0.5,0.5,10,0.1,10000,25481.2439453,96
"319",0.3,3,3,0.5,0.5,100,0.1,10000,25481.2439453,96
"320",0.3,3,3,0.5,0.5,1000,0.1,10000,25481.2439453,96
"321",0.3,3,3,0.5,0.5,0,0,10000,25537.0472657,210
"322",0.3,3,3,0.5,0.5,10,0,10000,25537.0472657,210
"323",0.3,3,3,0.5,0.5,1,0,10000,25537.047461,210
"324",0.3,3,3,0.5,0.5,100,0,10000,25537.047461,210
"325",0.3,3,3,0.5,0.5,1000,0,10000,25537.047461,210
"326",0.3,3,3,0.5,0.5,0,0.01,10000,25554.0839845,210
"327",0.3,3,3,0.5,0.5,1,0.01,10000,25554.0839845,210
"328",0.3,3,3,0.5,0.5,100,0.01,10000,25554.0839845,210
"329",0.3,3,3,0.5,0.5,10,0.01,10000,25554.0841798,210
"330",0.3,3,3,0.5,0.5,1000,0.01,10000,25554.0841798,210
"331",0.3,3,3,0.5,0.5,1,0.1,1,26210.4621095,130
"332",0.3,3,3,0.5,0.5,10,0.1,1,26210.4621095,130
"333",0.3,3,3,0.5,0.5,100,0.1,1,26210.4621095,130
"334",0.3,3,3,0.5,0.5,0,0.1,1,26210.4623048,130
"335",0.3,3,3,0.5,0.5,1000,0.1,1,26210.4623048,130
"336",0.3,3,3,0.5,0.5,0,0.1,0.1,26210.473828,130
"337",0.3,3,3,0.5,0.5,1,0.1,0.1,26210.473828,130
"338",0.3,3,3,0.5,0.5,10,0.1,0.1,26210.473828,130
"339",0.3,3,3,0.5,0.5,100,0.1,0.1,26210.473828,130
"340",0.3,3,3,0.5,0.5,1000,0.1,0.1,26210.473828,130
"341",0.3,3,3,0.5,0.5,0,0.1,0.01,26210.4767578,130
"342",0.3,3,3,0.5,0.5,1,0.1,0.01,26210.4767578,130
"343",0.3,3,3,0.5,0.5,10,0.1,0.01,26210.4767578,130
"344",0.3,3,3,0.5,0.5,1000,0.1,0.01,26210.4767578,130
"345",0.3,3,3,0.5,0.5,100,0.1,0.01,26210.4769531,130
"346",0.3,3,3,0.5,0.5,0,0.1,0,26210.4777343,130
"347",0.3,3,3,0.5,0.5,1,0.1,0,26210.4777343,130
"348",0.3,3,3,0.5,0.5,1000,0.1,0,26210.4777343,130
"349",0.3,3,3,0.5,0.5,10,0.1,0,26210.4779296,130
"350",0.3,3,3,0.5,0.5,100,0.1,0,26210.4779296,130
"351",0.3,3,3,0.5,0.5,1,0.1,1000,26257.241797,170
"352",0.3,3,3,0.5,0.5,10,0.1,1000,26257.241797,170
"353",0.3,3,3,0.5,0.5,100,0.1,1000,26257.2419923,170
"354",0.3,3,3,0.5,0.5,0,0.1,1000,26257.2423829,170
"355",0.3,3,3,0.5,0.5,1000,0.1,1000,26257.2423829,170
"356",0.3,3,3,0.5,0.5,0,0.1,100,26291.5013673,157
"357",0.3,3,3,0.5,0.5,1,0.1,100,26291.5013673,157
"358",0.3,3,3,0.5,0.5,10,0.1,100,26291.5013673,157
"359",0.3,3,3,0.5,0.5,100,0.1,100,26291.5013673,157
"360",0.3,3,3,0.5,0.5,1000,0.1,100,26291.5013673,157
"361",0.3,3,3,0.5,0.5,1000,0.01,1000,26518.3841797,95
"362",0.3,3,3,0.5,0.5,0,0.01,1000,26518.384375,95
"363",0.3,3,3,0.5,0.5,1,0.01,1000,26518.384375,95
"364",0.3,3,3,0.5,0.5,10,0.01,1000,26518.384375,95
"365",0.3,3,3,0.5,0.5,100,0.01,1000,26518.384375,95
"366",0.3,3,3,0.5,0.5,0,0,100,26538.7855469,156
"367",0.3,3,3,0.5,0.5,10,0,100,26538.7855469,156
"368",0.3,3,3,0.5,0.5,100,0,100,26538.7855469,156
"369",0.3,3,3,0.5,0.5,1000,0,100,26538.7855469,156
"370",0.3,3,3,0.5,0.5,1,0,100,26538.7857422,156
"371",0.3,3,3,0.5,0.5,10,0,1000,26657.0044921,156
"372",0.3,3,3,0.5,0.5,0,0,1000,26657.0046875,156
"373",0.3,3,3,0.5,0.5,100,0,1000,26657.0046875,156
"374",0.3,3,3,0.5,0.5,1,0,1000,26657.0048828,156
"375",0.3,3,3,0.5,0.5,1000,0,1000,26657.0048828,156
"376",0.3,3,3,0.5,0.5,0,1,10000,26871.4746095,193
"377",0.3,3,3,0.5,0.5,1,1,10000,26871.4748048,193
"378",0.3,3,3,0.5,0.5,10,1,10000,26871.4748048,193
"379",0.3,3,3,0.5,0.5,100,1,10000,26871.4748048,193
"380",0.3,3,3,0.5,0.5,1000,1,10000,26871.4748048,193
"381",0.3,3,3,0.5,0.5,0,0.01,1,26940.7507813,181
"382",0.3,3,3,0.5,0.5,1,0.01,1,26940.7507813,181
"383",0.3,3,3,0.5,0.5,100,0.01,1,26940.7507813,181
