StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_Rank_Order_1,Q3_Rank_Order_2,Q3_Rank_Order_3,Q3_Rank_Order_4,Q3_Rank_Order_5,Q4_Constant_Sum_1,Q4_Constant_Sum_2,Q4_Constant_Sum_3,Q4_Constant_Sum_4,Q5_Matrix_table_1,Q5_Matrix_table_2,Q5_Matrix_table_3,Q5_Matrix_table_4,Q5_Matrix_table_5,Q6_Bipolar_scale_1,Q6_Bipolar_scale_2,Q6_Bipolar_scale_3,Q7_MC_sa_country,Q7_MC_sa_country_3_TEXT,Q8_MC_sa_Likert,Q9_MC_ma_1,Q9_MC_ma_2,Q9_MC_ma_3,Q9_MC_ma_4,Q1 _Slider_1,Q11_Open_ended_EUR_1,Q12_cond_question,Q13_YES_following_q,Q17_1,Q18,Q19,Q21#1_1_1,Q21#2_1_1,Q23_Gender,Q23_Gender_3_TEXT,Q24_MC_SA_Likert_Fitness,Condition
,,,,,,,,,,,,,,,,,3,2,1,5,4,0,40,30,30,,,,,,,,,2,,4,1, , ,1,,,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,20,20,40,20,,,,,,,,,2,,4,1,1,1,1,,,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,2,3,4,5,1,20,20,20,40,,,,,,,,,2,,3,1,1, , ,,,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,2,3,1,4,5,0,30,50,20,,,,,,,,,2,,3,1,1, , ,,,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,3,2,1,5,4,0,40,60,0,,,,,,,,,2,,2,1,1,1,1,,,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,2,4,1,5,3,0,40,20,40,,,,,,,,,1,,4,1,1, ,1,,,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,1,3,5,2,4,20,30,20,30,,,,,,,,,2,,5, , ,1, ,,,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,1,2,4,5,3,10,40,30,20,,,,,,,,,2,,5,1,1,1,1,,,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,2,1,3,4,5,20,20,30,30,,,,,,,,,1,,4,1, , ,,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,2,4,3,5,20,30,10,40,,,,,,,,,2,,5,1,1, ,1,,,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,1,2,4,3,5,30,30,20,20,,,,,,,,,2,,3,1, , ,,,,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,1,2,5,4,3,20,20,20,40,,,,,,,,,2,,4,1,1,1,1,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,2,3,1,4,5,20,10,40,30,,,,,,,,,2,,1,1, , ,,,,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,2,4,1,5,3,10,20,20,50,,,,,,,,,2,,5,1,1, ,1,,,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,1,3,5,2,4,20,30,10,40,,,,,,,,,2,,2,1,1,1, ,,,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,1,2,4,5,3,20,30,10,40,,,,,,,,,1,,2, , ,1,,,,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,2,1,3,4,5,0,60,30,10,,,,,,,,,1,,4, , ,1,,,,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,5,4,3,1,2,0,20,50,30,,,,,,,,,1,,2, , , ,1,,,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,4,2,1,3,5,10,30,30,30,,,,,,,,,2,,4,1,1,1,,,,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,1,2,5,4,3,10,30,30,30,,,,,,,,,2,,3,1,1, ,1,,,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,2,3,1,4,5,10,20,30,40,,,,,,,,,2,,5, , , , ,,,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,3,2,1,5,4,30,20,10,40,,,,,,,,,2,,2,1, ,1, ,,,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,20,40,40,,,,,,,,,1,,1,1,1, ,1,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,2,3,4,5,1,0,80,20,0,,,,,,,,,2,,4,1,1,1,1,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,2,3,1,4,5,20,40,20,20,,,,,,,,,2,,1,1, ,1, ,,,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,1,2,4,3,5,20,20,30,30,,,,,,,,,1,,5, ,1, ,1,,,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,1,2,4,3,5,10,30,20,40,,,,,,,,,2,,4,1,1, ,,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,3,5,2,4,0,50,40,10,,,,,,,,,2,,4,1, ,1,1,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,2,4,5,3,20,60,10,10,,,,,,,,,1,,3,1,1,1,,,,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,2,1,3,4,5,10,30,30,30,,,,,,,,,2,,2, ,1, , ,,,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,5,4,3,1,2,10,30,40,20,,,,,,,,,2,,4,1, , , ,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,4,2,1,3,5,0,20,30,50,,,,,,,,,1,,1,1,1,1,1,,,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,1,2,5,4,3,20,20,10,50,,,,,,,,,2,,3,1,1,1, ,,,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,2,3,1,4,5,0,50,30,20,,,,,,,,,1,,2, , ,1,,,,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,3,2,1,5,4,10,30,10,50,,,,,,,,,2,,3,1,1,1, ,,,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,0,60,40,,,,,,,,,2,,5, , ,1,1,,,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,2,3,4,5,1,0,40,40,20,,,,,,,,,1,,3, , , ,1,,,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,2,3,1,4,5,0,30,50,20,,,,,,,,,2,,4,1,1,1,,,,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,3,2,1,5,4,10,20,20,50,,,,,,,,,2,,3, ,1, ,1,,,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,2,4,1,5,3,0,50,10,40,,,,,,,,,1,,3,1,1, ,,,,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,1,3,5,2,4,40,40,20,0,,,,,,,,,2,,1,1,1, , ,,,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,1,2,4,5,3,10,30,20,40,,,,,,,,,2,,4,1,1,1,,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,2,1,3,4,5,20,20,10,50,,,,,,,,,2,,4,1, , , ,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,50,20,30,,,,,,,,,2,,1,1, ,1,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,30,20,50,,,,,,,,,2,,5,1, , ,1,,,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,1,2,5,4,3,0,100,0,0,,,,,,,,,1,,2,1,1,1,,,,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,2,3,1,4,5,10,30,40,20,,,,,,,,,2,,4,1,1, , ,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,3,2,1,5,4,0,50,30,20,,,,,,,,,2,,3,1,1,1, ,,,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,1,3,2,4,5,20,30,30,20,,,,,,,,,2,,1,1,1,1,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,2,3,4,5,1,0,60,20,20,,,,,,,,,2,,2,1, , , ,,,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,2,3,1,4,5,0,60,20,20,,,,,,,,,1,,5,1,1,1, ,,,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,3,2,1,5,4,0,40,0,60,,,,,,,,,2,,3,1, , , ,,,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,2,4,1,5,3,0,50,20,30,,,,,,,,,2,,3,1,1,1,1,,,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,1,3,5,2,4,0,50,30,20,,,,,,,,,1,,1, , ,1,1,,,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,1,2,4,5,3,0,10,50,40,,,,,,,,,2,,5,1, , , ,,,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,2,1,3,4,5,10,20,10,60,,,,,,,,,2,,2, ,1,1, ,,,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,1,3,2,4,5,10,30,20,40,,,,,,,,,2,,4,1,1,1,1,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,50,30,20,,,,,,,,,1,,4,1,1,1,,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,2,5,4,3,30,30,10,30,,,,,,,,,2,,3,1, ,1,1,,,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,2,3,1,4,5,20,25,20,35,,,,,,,,,2,,2, ,1,1,,,,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,3,2,1,5,4,10,30,20,40,,,,,,,,,1,,5, ,1, ,1,,,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,10,40,50,,,,,,,,,2,,1,1,1,1,,,,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,2,3,4,5,1,10,20,10,60,,,,,,,,,2,,1, , ,1, ,,,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,2,3,1,4,5,30,20,10,40,,,,,,,,,2,,4,1,1, , ,,,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,3,2,1,5,4,20,30,20,30,,,,,,,,,1,,3,1,1,1,1,,,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,2,4,1,5,3,20,60,20,0,,,,,,,,,2,,4, , , , ,,,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,1,3,5,2,4,20,20,20,40,,,,,,,,,2,,4, ,1,1, ,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,2,4,5,3,10,30,10,50,,,,,,,,,1,,2,1, ,1,1,,,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,2,1,3,4,5,20,10,30,40,,,,,,,,,2,,4, ,1,1,,,,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,40,60,0,,,,,,,,,2,,4,1, ,1, ,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,20,30,10,40,,,,,,,,,1,,4, ,1,1, ,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,2,5,4,3,20,20,20,40,,,,,,,,,2,,2, ,, ,1,,,,,,,,,,1,,2,
,,,,,,,,,,,,,,,,,2,3,1,4,5,10,20,30,40,,,,,,,,,2,,1, ,1, , ,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,3,2,1,5,4,10,40,30,20,,,,,,,,,1,,4,1,,1, ,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,50,50,0,,,,,,,,,2,,5, , ,1,1,,,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,2,3,4,5,1,30,20,20,30,,,,,,,,,1,,4,1,1, , ,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,2,3,1,4,5,20,20,20,40,,,,,,,,,1,,4, ,,1, ,,,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,3,2,1,5,4,20,20,30,30,,,,,,,,,2,,5,1,, , ,,,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,2,4,1,5,3,20,30,30,20,,,,,,,,,2,,1,1, ,1, ,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,1,3,5,2,4,10,20,40,30,,,,,,,,,2,,1,1,1,1, ,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,1,2,4,5,3,0,50,0,50,,,,,,,,,2,,4,1,, ,1,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,2,1,3,4,5,20,20,20,40,,,,,,,,,2,,1, , , ,1,,,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,1,3,2,4,5,10,20,30,40,,,,,,,,,2,,3, ,1,1, ,,,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,30,30,40,,,,,,,,,1,,5,1, ,1, ,,,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,1,2,5,4,3,30,30,20,20,,,,,,,,,2,,4, ,1,1,1,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,2,3,1,4,5,15,25,20,40,,,,,,,,,1,,3, , , , ,,,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,3,2,1,5,4,0,30,50,20,,,,,,,,,1,,2,1,1,1,1,,,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,1,3,2,4,5,30,30,10,30,,,,,,,,,1,,5,1,1,1, ,,,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,2,3,4,5,1,20,20,10,50,,,,,,,,,2,,2,1, ,1, ,,,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,2,3,1,4,5,10,20,30,40,,,,,,,,,2,,1,1,1, ,1,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,3,2,1,5,4,0,100,0,0,,,,,,,,,2,,5,1,,1,,,,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,2,4,1,5,3,20,20,50,10,,,,,,,,,2,,2,1, ,1,,,,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,1,3,5,2,4,20,20,20,40,,,,,,,,,2,,5, , ,1,,,,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,1,2,4,5,3,0,30,40,30,,,,,,,,,2,,5, , ,1, ,,,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,2,1,3,4,5,0,50,30,20,,,,,,,,,2,,3,1, ,1,1,,,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,1,3,2,4,5,20,30,30,20,,,,,,,,,2,,5,1,1,1,1,,,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,1,3,2,4,5,30,40,20,10,,,,,,,,,2,,5, ,1,1, ,,,,,,,,,,2,,5,
,,,,,,,,,,,,,,,,,1,2,5,4,3,10,10,50,30,,,,,,,,,2,,4,1,1,1, ,,,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,2,3,1,4,5,0,40,40,20,,,,,,,,,1,,3, , ,1, ,,,,,,,,,,2,,3,
,,,,,,,,,,,,,,,,,3,2,1,5,4,40,30,10,20,,,,,,,,,1,,4, , , , ,,,,,,,,,,2,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,0,50,50,0,,,,,,,,,1,,4,1, ,1, ,,,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,2,3,4,5,1,20,20,20,40,,,,,,,,,2,,1, ,1, ,1,,,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,2,3,1,4,5,0,30,40,30,,,,,,,,,1,,5,1,1, , ,,,,,,,,,,1,,5,
,,,,,,,,,,,,,,,,,3,2,1,5,4,10,30,20,40,,,,,,,,,2,,3, , ,1,1,,,,,,,,,,1,,3,
,,,,,,,,,,,,,,,,,2,4,1,5,3,20,20,40,20,,,,,,,,,2,,2,1,1,1,,,,,,,,,,,2,,2,
,,,,,,,,,,,,,,,,,1,3,5,2,4,0,0,0,100,,,,,,,,,2,,1,1,1,1, ,,,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,1,2,4,5,3,20,30,30,20,,,,,,,,,2,,1,1, , ,1,,,,,,,,,,2,,1,
,,,,,,,,,,,,,,,,,2,1,3,4,5,30,40,20,10,,,,,,,,,2,,4,1,1, ,,,,,,,,,,,1,,4,
,,,,,,,,,,,,,,,,,1,3,2,4,5,10,10,50,30,,,,,,,,,2,,1,1, ,1,1,,,,,,,,,,2,,1,
