"customerID"	"revenue"	"time_on_site"	"time_on_site_1"	"exp_group"	"nps"	"retargeting"	"conversion"
261	962	995	NA	"0"	10	"3"	0
262	1078	753	770	"1"	9	"3"	1
263	1227	616	651	"1"	0	"2"	0
264	1730	1241	1274	"1"	7	"2"	1
265	2492	465	502	"1"	10	"3"	1
266	1178	390	NA	"0"	9	"2"	0
267	1876	897	924	"1"	2	"2"	1
268	1360	1258	1283	"1"	10	"2"	1
269	1307	1047	1073	"1"	0	"1"	0
270	1691	703	NA	"0"	9	"3"	1
271	1263	416	457	"1"	7	"1"	0
272	1452	574	NA	"0"	9	"3"	0
273	2621	1424	1463	"1"	9	"2"	0
275	1704	639	682	"1"	0	"2"	0
276	881	785	825	"1"	9	"2"	0
277	565	999	1020	"1"	7	"1"	1
278	1769	1024	1044	"1"	10	"2"	0
279	1607	1277	1289	"1"	9	"1"	1
280	2080	434	NA	"0"	9	"3"	0
281	414	554	592	"1"	0	"1"	0
282	2234	1475	1486	"1"	8	"1"	0
283	2640	745	794	"1"	10	"3"	0
284	1125	782	NA	"0"	7	"2"	0
285	1051	838	860	"1"	8	"2"	0
286	2459	1115	1152	"1"	8	"1"	1
288	1326	381	NA	"0"	4	"3"	0
289	1619	769	791	"1"	8	"1"	0
290	2361	1018	1049	"1"	7	"1"	1
291	651	993	NA	"0"	1	"1"	1
292	2157	752	NA	"0"	10	"1"	0
293	2667	480	510	"1"	9	"3"	0
294	1188	279	NA	"0"	10	"3"	0
295	1536	531	566	"1"	5	"1"	1
296	2415	463	491	"1"	10	"3"	0
297	1044	620	637	"1"	8	"2"	1
298	2552	505	529	"1"	6	"2"	1
299	2265	468	NA	"0"	9	"3"	0
300	1572	860	NA	"0"	10	"1"	0
