Customer ID,Choice,Gender,Amt_purchased,Frequency,Last_Purchase,First_purchase,P_Child,P_Youth,P_Cook,P_DIY,P_Art
268,0,1,224,16,1,16,0,0,1,0,0
269,0,0,345,6,6,30,3,1,0,0,1
270,0,0,232,14,4,30,1,1,1,0,0
271,0,0,179,24,1,24,0,0,0,1,0
272,1,1,272,12,1,12,0,0,0,0,0
273,0,1,130,10,1,10,0,0,0,1,0
274,0,1,67,30,1,30,0,0,0,0,0
275,0,1,324,16,5,30,0,2,0,1,1
276,1,1,181,6,1,6,0,0,0,0,1
277,0,0,254,10,1,10,0,0,0,0,1
278,0,1,340,12,6,30,2,1,1,0,0
279,0,0,133,22,2,26,2,0,0,0,0
280,0,1,207,8,1,8,0,0,0,0,0
281,0,1,280,10,1,10,1,0,0,0,0
282,0,1,268,16,9,44,5,0,3,0,0
283,0,1,224,10,2,12,0,0,2,0,0
284,0,1,331,10,9,38,1,1,2,2,1
285,0,1,120,4,1,4,1,0,0,0,0
286,0,1,262,14,1,14,0,0,1,0,0
287,0,0,204,10,2,14,2,0,0,0,0
288,0,1,185,12,2,20,0,0,2,0,0
289,0,0,274,12,8,32,2,0,2,0,1
290,1,1,75,16,1,16,0,0,0,0,0
291,0,1,157,6,2,14,0,0,2,0,0
292,0,1,189,14,2,18,1,0,1,0,0
293,1,1,130,12,1,12,0,0,0,1,0
294,0,1,111,10,2,18,1,1,0,0,0
295,0,1,211,6,4,24,0,1,1,1,0
296,0,0,170,6,2,12,1,0,1,0,0
297,1,1,234,8,8,40,0,2,0,0,3
298,1,1,80,14,1,14,0,0,0,1,0
299,0,1,294,2,1,2,1,0,0,0,0
300,0,0,191,12,1,12,0,0,0,0,0
301,0,1,117,32,2,36,0,0,1,1,0
302,1,0,306,10,1,10,0,0,0,0,1
303,1,1,385,4,9,40,2,0,2,2,2
304,0,1,320,16,5,42,0,1,3,0,0
305,0,1,329,14,3,24,0,0,1,0,2
306,1,1,44,2,1,2,0,0,1,0,0
307,1,1,245,18,4,34,0,0,0,0,1
308,1,1,206,6,1,6,0,0,0,0,1
309,0,1,266,2,3,18,0,0,1,2,0
310,0,0,82,12,2,20,2,0,0,0,0
311,0,1,213,10,2,16,0,1,0,0,0
312,0,1,391,36,8,68,1,3,1,2,0
313,0,1,168,12,2,20,1,1,0,0,0
314,0,1,298,12,4,24,1,0,0,1,1
315,1,1,34,2,1,2,0,0,0,0,1
316,0,1,57,12,2,14,0,0,1,0,0
317,0,1,254,8,8,50,3,0,1,0,1
318,0,1,84,16,2,24,0,0,1,0,0
319,1,1,143,14,1,14,0,0,0,0,0
320,0,0,292,16,1,16,0,1,0,0,0
321,0,1,294,16,1,16,0,0,0,1,0
322,1,0,129,4,1,4,0,0,0,0,0
323,1,1,237,2,2,4,0,0,1,0,1
324,1,1,232,2,5,24,1,2,0,0,0
325,1,1,176,8,11,64,2,0,2,0,3
326,1,0,33,14,1,14,0,0,0,0,1
327,0,1,262,12,2,16,0,0,0,1,1
328,0,1,33,6,1,6,1,0,0,0,0
329,0,1,306,4,9,28,2,0,4,0,0
330,0,0,156,2,1,2,1,0,0,0,0
331,0,1,241,30,1,30,1,0,0,0,0
332,0,1,214,6,5,20,2,0,1,0,0
333,0,1,166,8,2,16,1,0,0,0,1
334,0,1,34,10,1,10,1,0,0,0,0
335,0,1,293,12,2,16,1,0,0,0,0
336,1,0,406,8,10,58,1,0,3,2,1
337,0,0,396,4,10,28,4,1,3,1,1
338,0,1,113,36,2,42,1,0,1,0,0
339,0,1,62,8,1,8,0,0,0,0,1
340,0,1,118,16,1,16,0,0,0,0,0
341,0,1,122,14,1,14,1,0,0,0,0
342,1,1,163,10,2,18,0,0,1,0,0
343,0,1,38,12,1,12,0,1,0,0,0
344,0,0,310,16,8,44,2,1,4,1,0
345,0,1,135,30,7,48,1,1,1,0,1
346,0,1,224,32,1,32,0,0,0,1,0
347,0,1,127,30,1,30,0,1,0,0,0
348,0,0,225,4,1,4,0,1,0,0,0
349,1,1,72,6,4,16,1,0,1,0,2
350,1,1,183,2,1,2,0,0,1,0,0
351,1,0,285,16,4,28,0,0,3,0,0
352,0,0,239,16,1,16,0,0,1,0,0
353,0,1,120,12,1,12,1,0,0,0,0
354,0,1,132,18,1,18,0,0,0,0,0
355,0,1,193,16,2,20,1,0,0,0,1
356,0,1,222,14,3,24,0,2,1,0,0
357,0,0,169,4,9,50,5,2,0,1,0
358,1,0,223,2,3,12,2,0,0,0,1
359,0,0,96,8,1,8,0,0,1,0,0
360,0,1,243,8,2,10,1,0,0,1,0
361,0,1,214,2,1,2,0,0,0,0,1
362,1,0,213,8,1,8,0,0,0,0,0
363,1,1,299,10,2,16,1,0,1,0,0
364,0,1,68,8,2,14,2,0,0,0,0
365,0,0,310,16,6,36,3,0,0,0,0
366,0,1,195,6,1,6,1,0,0,0,0
367,1,1,219,10,7,34,1,1,1,0,1
368,0,1,274,36,2,42,0,1,0,0,0
369,0,0,39,12,2,16,1,0,0,1,0
370,0,0,199,24,2,26,0,1,0,0,1
371,0,1,235,14,1,14,1,0,0,0,0
372,0,1,298,30,2,34,1,0,0,1,0
373,1,1,232,8,8,52,1,2,2,0,0
374,0,0,228,30,2,38,1,0,1,0,0
375,0,1,133,6,4,18,1,1,2,0,0
376,0,1,187,10,5,30,1,1,1,0,0
377,0,0,162,4,1,4,1,0,0,0,0
378,0,0,35,6,2,10,0,1,1,0,0
379,0,1,99,2,2,6,0,0,2,0,0
380,1,1,262,30,1,30,1,0,0,0,0
381,0,0,199,10,1,10,1,0,0,0,0
382,0,1,128,20,6,40,2,0,1,1,0
383,0,1,218,6,1,6,0,0,1,0,0
384,1,1,75,4,4,26,0,1,0,1,0
385,0,0,323,8,4,20,1,0,2,0,0
386,0,1,187,2,8,18,3,0,2,2,0
387,1,1,172,14,5,38,0,0,1,2,1
388,0,1,277,12,5,36,1,0,2,2,0
389,0,0,190,26,2,32,0,1,0,1,0
390,1,1,38,34,1,34,0,0,0,0,0
391,0,0,238,16,1,16,1,0,0,0,0
392,0,1,141,2,1,2,1,0,0,0,0
393,1,1,216,10,1,10,0,1,0,0,0
394,0,1,218,14,8,48,1,0,3,1,1
395,0,0,302,14,12,48,3,1,5,0,1
396,0,0,115,4,2,10,0,0,1,1,0
397,0,0,333,2,4,18,1,0,1,0,1
398,0,1,70,8,4,22,1,1,0,2,0
399,0,1,202,8,2,14,0,1,0,0,0
400,0,1,253,8,3,24,1,0,0,0,1
401,1,1,339,10,6,36,2,1,0,0,2
402,0,1,335,6,12,54,5,2,2,2,1
403,0,1,41,18,2,20,0,1,0,0,1
404,1,1,330,16,5,42,0,0,1,0,2
405,0,1,44,2,1,2,0,1,0,0,0
406,1,0,299,6,5,32,1,2,1,1,0
407,0,0,228,2,8,24,1,1,4,1,1
408,0,0,210,34,1,34,0,0,1,0,0
409,1,0,278,2,1,2,0,0,1,0,0
410,0,1,205,4,2,6,0,0,0,1,0
411,0,1,138,8,1,8,1,0,0,0,0
412,0,1,265,12,11,68,4,1,0,1,2
413,0,0,145,10,8,50,1,1,4,0,1
414,0,1,96,16,1,16,0,0,0,0,1
415,0,1,35,18,2,22,1,0,1,0,0
416,0,1,96,6,1,6,1,0,0,0,0
417,1,1,246,12,11,38,3,0,4,0,0
418,1,0,148,6,9,48,0,1,1,1,2
419,0,1,233,14,4,28,0,0,3,0,1
420,0,1,86,12,2,16,0,0,0,1,0
421,0,0,257,10,1,10,0,0,0,0,0
422,0,1,191,22,2,24,0,0,1,1,0
423,1,1,41,2,1,2,0,0,0,0,1
424,0,0,159,12,2,16,0,0,0,0,2
425,0,1,211,24,2,28,0,1,0,1,0
426,0,0,248,4,5,24,2,1,0,2,0
427,0,1,94,8,3,26,0,1,1,0,0
428,1,0,171,2,2,10,1,0,1,0,0
429,0,1,149,2,1,2,1,0,0,0,0
430,0,1,276,10,2,14,0,0,0,1,1
431,0,0,219,12,7,42,2,1,2,1,1
432,1,0,292,2,1,2,1,0,0,0,0
433,0,1,135,16,3,26,1,1,0,0,1
434,1,1,261,6,11,38,2,0,3,3,2
435,1,1,236,8,1,8,0,0,0,0,0
436,0,1,93,12,1,12,0,1,0,0,0
437,0,1,260,12,2,16,0,0,1,0,0
438,0,1,69,14,2,18,1,0,0,0,0
439,0,1,117,20,6,54,1,0,0,0,0
440,0,1,91,10,5,26,3,0,0,1,1
441,0,1,269,6,1,6,1,0,0,0,0
442,0,1,309,12,2,20,0,0,0,0,1
443,0,1,139,30,1,30,0,0,0,1,0
444,0,0,135,6,1,6,0,0,1,0,0
445,1,1,88,10,2,18,1,0,0,0,0
446,0,1,266,12,6,44,2,0,1,1,1
447,0,1,132,20,3,36,1,0,1,0,1
448,0,1,140,16,2,24,1,0,0,0,1
449,0,1,74,4,2,6,1,0,1,0,0
450,1,0,36,16,1,16,0,0,1,0,0
451,0,1,404,18,7,38,1,1,4,1,0
452,0,0,21,10,1,10,0,0,0,1,0
453,0,0,353,10,12,82,2,1,5,1,3
454,1,1,187,16,3,22,0,0,1,0,1
455,0,1,263,12,10,36,0,1,3,2,2
456,0,1,228,16,11,52,4,0,3,2,0
457,0,0,188,10,9,50,1,1,2,3,1
458,1,0,155,30,6,44,1,0,3,0,0
459,0,0,138,14,5,30,2,2,0,1,0
460,0,0,168,12,1,12,0,0,0,1,0
461,0,1,151,14,1,14,0,0,0,1,0
462,0,1,220,12,2,20,1,0,1,0,0
463,0,0,299,20,5,44,3,0,0,0,2
464,1,0,97,16,6,42,2,1,2,0,1
465,1,0,179,10,1,10,0,0,0,0,1
466,0,0,184,14,1,14,0,0,0,0,0
467,0,0,281,6,4,16,0,2,2,0,0
468,0,0,176,8,1,8,0,0,1,0,0
469,0,1,232,20,1,20,0,0,0,0,1
470,0,1,188,10,1,10,0,0,0,0,1
471,0,1,180,14,2,18,0,0,1,0,0
472,0,0,191,20,1,20,0,1,0,0,0
473,0,1,136,22,1,22,0,0,1,0,0
474,0,0,222,2,6,24,0,2,0,2,0
475,0,0,301,6,2,12,1,0,0,1,0
476,0,0,298,12,1,12,0,0,0,1,0
477,1,1,138,10,7,38,2,3,0,0,1
478,1,0,203,12,1,12,0,0,0,1,0
479,0,1,171,6,2,8,0,0,0,0,0
480,0,1,202,12,2,16,0,0,1,0,1
481,0,1,157,16,1,16,0,0,0,1,0
482,0,1,78,2,2,10,0,1,1,0,0
483,0,1,65,6,2,10,0,0,2,0,0
484,0,0,55,8,2,14,1,0,1,0,0
485,0,1,167,18,5,32,1,0,1,3,0
486,0,1,267,26,2,28,2,0,0,0,0
487,0,0,142,12,1,12,0,0,0,1,0
488,0,0,324,14,2,20,0,0,2,0,0
489,0,1,265,32,6,48,2,0,3,0,0
490,0,0,34,4,1,4,0,0,1,0,0
491,0,1,70,12,1,12,0,1,0,0,0
492,0,1,51,12,1,12,0,0,0,0,0
493,0,1,166,12,11,36,1,1,1,3,2
494,0,1,76,32,2,40,0,1,0,1,0
495,1,0,17,16,1,16,1,0,0,0,0
496,0,0,314,14,2,16,0,0,0,1,1
497,0,1,267,14,12,72,5,0,1,0,4
498,0,0,69,6,2,8,0,0,1,0,0
499,1,1,391,6,10,64,0,0,5,1,2
500,0,0,226,14,2,20,0,0,1,1,0
501,1,1,175,8,3,16,0,0,2,0,1
502,0,0,263,12,1,12,0,0,1,0,0
503,0,0,98,12,3,22,0,1,0,1,1
504,0,0,106,6,4,18,0,0,1,0,0
505,0,0,166,12,1,12,0,0,1,0,0
506,1,1,251,10,2,18,1,0,0,0,1
507,0,1,166,16,1,16,0,0,1,0,0
508,0,1,36,12,1,12,0,0,1,0,0
509,0,1,131,16,1,16,0,0,0,0,1
510,0,0,148,32,2,38,0,1,0,1,0
511,1,0,80,2,2,6,1,0,1,0,0
512,0,0,205,2,2,8,0,0,1,0,0
513,0,1,239,12,2,14,0,1,0,1,0
514,0,1,192,6,1,6,0,0,0,1,0
515,0,1,25,6,1,6,0,0,1,0,0
516,0,0,273,8,3,16,0,1,2,0,0
517,1,0,273,10,2,12,2,0,0,0,0
518,0,1,78,12,1,12,0,0,1,0,0
519,1,1,140,2,1,2,1,0,0,0,0
520,0,1,228,12,1,12,0,0,0,0,1
521,0,0,254,24,1,24,0,1,0,0,0
522,0,1,177,14,5,32,1,0,1,0,2
523,0,1,165,12,5,22,2,1,1,1,0
524,0,1,31,12,2,18,1,1,0,0,0
525,0,1,240,6,12,46,4,1,2,3,2
526,0,1,24,14,1,14,0,0,0,1,0
527,0,1,144,16,2,22,2,0,0,0,0
528,0,1,136,16,2,22,0,0,0,1,0
529,1,1,250,6,1,6,0,0,0,1,0
530,1,0,145,2,1,2,0,0,1,0,0
531,0,0,177,2,1,2,1,0,0,0,0
532,1,0,376,4,10,60,1,2,2,3,1
533,0,1,48,14,2,20,0,2,0,0,0
534,1,0,81,16,1,16,0,0,0,1,0
535,0,0,295,14,1,14,1,0,0,0,0
536,0,1,328,4,3,12,0,0,1,1,1
537,1,1,176,20,3,36,1,0,1,0,1
538,0,1,204,4,4,16,1,0,2,0,0
539,0,1,151,10,1,10,0,0,1,0,0
540,0,1,75,22,2,24,0,0,0,1,0
541,1,1,331,10,7,48,1,0,1,0,2
542,0,1,305,14,8,56,0,1,4,2,0
543,1,1,192,12,1,12,0,0,0,0,1
544,0,1,166,10,1,10,0,0,0,0,0
545,1,0,187,12,2,18,0,0,1,0,0
546,0,1,357,12,12,60,2,4,2,2,2
547,0,0,203,8,2,16,0,0,1,1,0
548,1,1,163,6,2,8,1,0,1,0,0
549,0,1,68,6,2,12,1,0,1,0,0
550,0,1,161,22,9,58,3,2,0,0,2
551,0,1,177,30,1,30,0,0,1,0,0
552,0,1,437,24,11,60,2,1,1,3,1
553,0,0,181,12,1,12,0,0,0,1,0
554,0,1,84,4,1,4,0,0,1,0,0
555,0,1,184,2,2,10,1,0,1,0,0
556,0,0,240,34,8,54,3,2,2,0,0
557,0,1,219,8,1,8,1,0,0,0,0
558,0,0,240,28,2,30,0,1,0,0,1
559,0,1,256,12,5,32,3,1,0,1,0
560,0,1,216,14,2,20,1,0,1,0,0
561,0,0,57,26,2,30,1,0,0,0,1
562,1,0,206,14,1,14,0,0,0,0,0
563,0,0,360,34,7,52,3,0,1,0,1
564,0,0,160,32,2,38,1,0,1,0,0
565,0,0,312,14,1,14,0,0,1,0,0
566,0,1,250,24,2,28,2,0,0,0,0
567,1,0,179,6,1,6,0,1,0,0,0
568,0,1,278,20,1,20,0,0,0,0,0
569,1,0,220,28,7,70,1,0,0,1,2
570,1,1,237,12,1,12,0,0,1,0,0
571,0,0,42,10,1,10,0,0,0,0,0
572,0,1,232,14,4,34,1,0,1,0,0
573,1,0,331,4,7,28,3,0,2,0,2
574,0,1,198,26,2,30,1,0,0,0,1
575,0,1,234,30,1,30,0,1,0,0,0
576,0,1,80,8,2,12,1,0,1,0,0
577,0,0,298,14,1,14,1,0,0,0,0
