artistName,trackID,trackName,rank,streams,frequency,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,isrc,spotifyArtistID,releaseDate,daysSinceRelease,spotifyFollowers,mbid,artistCountry,indicator,spotify_followers,weeks_since_release
ed sheeran,0afhq8XCExXpqazXczTSve,Galway Girl,7,7174831,2,62.4,0.876,9,-3.374,0.1,0.0735,0,0.327,0.767,99.943,170827,4,GBAHS1700026,6eUKZXaKkcviH0Ku9w2n3V,03.03.2017,30,8493371,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,GB,1,8.493371,4.28571428571429
shawn mendes,0AgAOnISeJ88aPDAKtat98,Don't Be A Fool,162,1018747,1,47.2,0.33,11,-5.892,0.044,0.627,0,0.0938,0.267,175.223,215773,3,USUM71603532,7n2wHs1TKAczGzO7Dd2rGr,23.09.2016,191,2944933,b7d92248-97e3-4450-8057-6fe06738f735,CA,1,2.944933,27.2857142857143
the game,0aJ6PIOxiWnhCRGBPFJzgG,All Eyez (feat. Jeremih),160,1023049,5,41.9,0.655,0,-6.679,0.247,0.0571,0,0.0962,0.349,76.835,215297,3,USKO11601089,0NbfKEOTQCcwd6o7wSDOHI,20.06.2016,286,784996,baec7ed1-32d7-482d-9455-33c403e61952,GB,1,0.784996,40.8571428571429
calvin harris,0azC730Exh71aQlOt9Zj3y,This Is What You Came For,4,6356244,41,63,0.928,9,-2.787,0.0331,0.199,0.124,0.148,0.46,123.963,222160,4,GBARL1600460,7CajNmpbOovFoOoasH2HaY,29.04.2016,338,5881664,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,GB,1,5.881664,48.2857142857143
mariah carey,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,17,3385667,9,33.5,0.625,7,-7.462,0.0386,0.164,0,0.0708,0.334,150.277,241107,4,USSM19400325,4iHNK0tOyZPYnBU7nGAgpQ,10.02.2010,1000,1216300,494e8d09-f85b-4543-892f-a5096aed1cd4,US,1,1.2163,142.857142857143
logic,0cdXG7PwSUOv19gF6dMv5n,illuminatro,176,890504,1,42.4,0.283,8,-17.517,0.221,0.61,0.316,0.391,0.186,81.356,48133,5,USUM71605668,4xRYI6VqpkE3UwrDrAZL8L,01.07.2016,275,941252,713e751f-3ddb-4b77-b3b1-9e6f2e953ad5,US,1,0.941252,39.2857142857143
adele,0ENSn4fwAbCGeFGVUbXEU3,Hello,1,17646156,35,48.1,0.451,5,-6.095,0.0347,0.336,0,0.0872,0.287,157.966,295493,4,GBBKS1500214,4dpARuHxo51G3z768sgnrY,20.11.2015,499,6023366,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,GB,1,6.023366,71.2857142857143
david bowie,0Fao855T3klV3REFRFHRF3,Blackstar,118,899139,1,36.6,0.552,6,-8.35,0.0317,0.206,0.0595,0.178,0.108,97.98,597933,4,USRF31500001,0oSGxfWSnnOXhD2fKuz2Gy,21.11.2015,498,1719086,5441c29d-3602-4898-b1a1-b77fa23b8e50,GB,1,1.719086,71.1428571428571
ed sheeran,0FE9t6xYkqWXU2ahLh6D8X,Shape of You,1,11079982,8,82.5,0.652,1,-3.183,0.0802,0.581,0,0.0931,0.933,95.977,233713,4,GBAHS1600463,6eUKZXaKkcviH0Ku9w2n3V,06.01.2017,86,8493371,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,GB,1,8.493371,12.2857142857143
big sean,0Fv5N0cHBsl4bzCbollCAS,Moves,10,5482859,6,78.9,0.53,2,-6.2,0.293,0.0541,0,0.164,0.381,75.515,142907,4,USUM71615597,0c173mlxpT3dSFRgMO8XPh,03.02.2017,58,1975532,942a9807-9c1a-4a0e-a285-1fde2c5be9d1,0,1,1.975532,8.28571428571429
ariana grande,0fwl4utqKorwZfPwmVei3J,Touch It,152,1031997,1,28.7,0.7,7,-4.326,0.0499,0.0338,0,0.18,0.337,202.317,260000,4,USUM71602114,66CXWjxzNUsdJxJ2JdwvnR,20.05.2016,317,5782028,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,US,1,5.782028,45.2857142857143
x ambassadors,0fYVliAYKHuPmECRs1pbRf,Renegades,27,2261880,41,40,0.868,11,-5.988,0.203,0.0112,0.0685,0.27,0.567,180.261,195199,4,USUM71502643,3NPpFNZtSTHheNBaWC82rB,30.06.2015,642,408699,298f4089-1948-44b5-b5e8-d5381f42362f,US,1,0.408699,91.7142857142857
john mayer,0GWS6wkQrqZd0BAhq28haq,Changing,132,1359284,1,34.9,0.338,0,-7.793,0.0292,0.62,0.00799,0.128,0.399,182.842,213933,3,USSM11610640,0hEurMDQu99nJRq8pTxO14,20.01.2017,72,2117777,144ef525-85e9-40c3-8335-02c32d0861f3,US,1,2.117777,10.2857142857143
chris young,0H04yVa3DJxoXbLBpAb7iV,I'm Comin' Over,159,750137,1,57.5,0.845,10,-3.838,0.035,0.0282,0,0.0814,0.357,127.997,197280,4,USRN11400703,4BYxqVkZyFjtik7crYLg5Q,13.11.2015,506,408366,0fa06365-1a08-4ea8-b522-01b24f26eac1,0,1,0.408366,72.2857142857143
bon iver,0H2MmFtJgoeywCIbAN3sid,715 - CR∑∑KS,116,1232754,1,46.1,0.161,8,-11.145,0.405,0.878,0,0.17,0.365,88.781,132000,3,US38Y1630003,4LEiUm1SRbFMgfqnQTwUbQ,30.09.2016,184,1601315,437a0e49-c6ae-42f6-a6c1-84f25ed366bc,US,1,1.601315,26.2857142857143
florida georgia line,0H9Q7Vzu8nYRDBZYKbtU8d,Sippin’ On Fire,133,641195,3,47.8,0.929,10,-3.192,0.032,0.0051,0.0000103,0.348,0.742,142.956,193640,4,USUM71412659,3b8QkneNDz4JHKKKlLgYZg,08.10.2014,907,723043,c16817df-0160-490d-a437-c128cbca9218,US,1,0.723043,129.571428571429
j. cole,0HtOJj7Kl74s1Ngf3MWeif,She's Mine Pt. 1,9,7798936,6,43.5,0.202,2,-15.097,0.0702,0.776,0.0976,0.245,0.0451,139.574,209080,4,QMJMT1601084,6l3HvQ5sa6mXTsMTB19rO5,09.12.2016,114,2637926,875203e1-8e58-4b86-8dcb-7190faf411c5,US,1,2.637926,16.2857142857143
zara larsson,0HVj61S4pQJdQhgZP61G65,I Would Like,95,1665405,15,48.6,0.713,2,-3.949,0.0524,0.0853,0,0.0839,0.3,121.028,226720,4,USSM11609249,1Xylc3o4UrD53lo9CvFvVg,11.11.2016,142,861905,134e6410-6954-45d1-bd4a-0f2d2ad5471d,SE,1,0.861905,20.2857142857143
zayn,0IKK48xF4eEdfofyaeKWWO,PILLOWTALK,1,9487783,8,58.8,0.702,11,-4.271,0.0496,0.104,0,0.089,0.41,124.909,203686,4,USRC11600042,5ZsFI1h6hIdQRw2ti0hz81,29.01.2016,429,1423958,985f7e6f-0a7e-4de7-b9ec-a5dac63cb2f7,GB,1,1.423958,61.2857142857143
ariana grande,0IsuyquSKlYA9IcWL5DxGM,Moonlight,118,1244414,1,36.8,0.402,9,-7.474,0.0398,0.416,0.00000266,0.0498,0.202,204.045,202360,3,USUM71602106,66CXWjxzNUsdJxJ2JdwvnR,20.05.2016,317,5782037,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,US,1,5.782037,45.2857142857143
drake,0JoaFxLgrqbWutREzcZBzS,One Dance,1,17799137,5,77.1,0.629,1,-5.79,0.0511,0.00802,0.00252,0.356,0.355,103.918,173975,4,USCM51600028,3TVXtAsR1Inumwj472S9r4,06.05.2016,331,9338907,9fff2f8a-21e6-47de-a2b8-7f449929d43f,CA,1,9.338907,47.2857142857143
bruno mars,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,3,8318168,17,85.3,0.56,1,-4.961,0.0406,0.013,0,0.0944,0.853,134.066,206693,4,USAT21602948,0du5cEVh5yTK9QJze8zA0C,18.11.2016,135,5986818,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,US,1,5.986818,19.2857142857143
ellie goulding,0kN5Ohxu97lwdDmP5n7FZE,On My Mind,10,3453066,7,70.2,0.705,0,-6.666,0.0543,0.258,0.00000593,0.0879,0.749,154.911,213445,4,GBUM71505456,0X2BH1fck6amBIoJhDVmmJ,06.11.2015,513,3272605,33ca19f4-18c8-4411-98df-ac23890ce9f5,0,1,3.272605,73.2857142857143
dan + shay,0lQJBl9YEsoMtE8D4yTE9g,From the Ground Up,133,1033911,15,28.1,0.58,9,-5.967,0.0323,0.333,0,0.122,0.281,151.568,253933,3,USWB11600559,7z5WFjZAIYejWy0NI5lv4T,03.06.2016,303,147269,6a2d48d4-25c0-483d-b135-680af589a4ae,0,1,0.147269,43.2857142857143
lana del rey,0n2bvWvMwr0gbjcuTm92eW,Love,57,2338910,3,32.2,0.352,10,-10.986,0.0309,0.455,0.00333,0.11,0.258,70.429,278360,3,GBUM71604605,00FQb4jTyendYWaN8pK0wa,18.02.2017,43,4800318,b7539c32-53e7-4908-bda3-81449c367da6,US,1,4.800318,6.14285714285714
blink-182,0oOOVSZGuPriWBqwbh0uuJ,Cynical,142,999706,1,49.5,0.965,5,-2.964,0.188,0.00267,0,0.0763,0.25,100.028,115520,4,QMRSZ1600236,6FBDaR13swtiWwGhX1WQsP,01.07.2016,275,2049036,0743b15a-3c32-48c8-ad58-cb325350befa,US,1,2.049036,39.2857142857143
ellie goulding,0P8IK6UrU0ruwsGB4S7iCI,Codes,191,610577,1,51.7,0.681,5,-7.392,0.106,0.0256,0.0000744,0.111,0.353,184.09,196213,4,GBUM71505843,0X2BH1fck6amBIoJhDVmmJ,06.11.2015,513,3272605,33ca19f4-18c8-4411-98df-ac23890ce9f5,0,1,3.272605,73.2857142857143
zayn,0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,2,6584851,35,58.4,0.7,11,-4.275,0.0456,0.117,0,0.0939,0.425,124.944,202747,4,USRC11600042,5ZsFI1h6hIdQRw2ti0hz81,29.01.2016,429,1423958,985f7e6f-0a7e-4de7-b9ec-a5dac63cb2f7,GB,1,1.423958,61.2857142857143
d.r.a.m.,0qy5D3OJre7SPJNMOL9I71,Broccoli,5,6977283,20,88.6,0.525,8,-7.39,0.132,0.236,0,0.057,0.711,145.99,225205,4,USUYG1098775,5M0lbkGluOPXLeFjApw8r8,06.04.2016,361,242452,6247d69d-426f-440f-97e0-74a9a0b00358,0,1,0.242452,51.5714285714286
big sean,0SGkqnVQo9KPytSri1H6cF,Bounce Back,3,8687610,6,77,0.567,2,-5.698,0.175,0.105,0,0.125,0.256,81.477,222360,4,USUM71614503,0c173mlxpT3dSFRgMO8XPh,03.02.2017,58,1975532,942a9807-9c1a-4a0e-a285-1fde2c5be9d1,0,1,1.975532,8.28571428571429
fifth harmony,0SJPThTy7ynySPF4euczx7,Work from Home,3,6510692,13,80.3,0.631,8,-4.213,0.0444,0.102,0.00000739,0.0858,0.659,104.999,216575,4,USSM11600251,1l8Fu6IkuTP0U5QetQJ5Xt,27.05.2016,310,2223575,e565610b-9a8f-451d-b594-ea658d76f725,US,1,2.223575,44.2857142857143
r. city,0sQLhT32E9ZG2zn5iYR6nN,Locked Away,9,3052236,11,50.8,0.677,1,-5.696,0.0656,0.328,0,0.0491,0.558,121.928,227280,5,USRC11501369,4TH4BHy0LdBi3dpBW4P2UX,29.06.2015,643,71477,759d57ae-ac3a-4b42-b965-314617a75e4f,US,1,0.071477,91.8571428571429
james blake,0TLAptKgYxe7F0KewWH6X6,I Need A Forest Fire,137,976189,1,41.5,0.304,2,-11.764,0.0459,0.663,0.802,0.105,0.0384,128.93,257220,4,GBUM71602640,53KwLdlmrlCelAZMaLVZqU,06.05.2016,331,579371,8dc08b1f-e393-4f85-a5dd-300f7693a8b8,GB,1,0.579371,47.2857142857143
j. cole,0utlOiJy2weVl9WTkcEWHy,Neighbors,3,9760997,14,89.4,0.284,11,-13.002,0.33,0.358,0.000487,0.11,0.413,138.944,216520,4,QMJMT1601088,6l3HvQ5sa6mXTsMTB19rO5,09.12.2016,114,2637936,875203e1-8e58-4b86-8dcb-7190faf411c5,US,1,2.637936,16.2857142857143
one direction,0uZzdkuzJEjFzaRR2HQ5mj,Home,127,765865,1,42,0.867,9,-5.397,0.0859,0.0115,0,0.0851,0.625,78.814,194907,4,GBHMU1500171,4AK6F7OLvEQ5QYCBNiQWHq,22.10.2015,528,6272840,1a425bbd-cca4-4b2c-aeb7-71cb176c828a,GB,1,6.27284,75.4285714285714
zayn,0WEVf4RhIrcr3S3ULBrt0T,LIKE I WOULD,15,3536159,2,56.5,0.832,10,-5.732,0.114,0.0247,0,0.26,0.232,112.827,192133,4,USRC11600403,5ZsFI1h6hIdQRw2ti0hz81,11.03.2016,387,1423958,985f7e6f-0a7e-4de7-b9ec-a5dac63cb2f7,GB,1,1.423958,55.2857142857143
kyle,0WjYgf4qH3B0v0HmW61doL,iSpy,7,5978340,8,74.6,0.653,7,-6.745,0.289,0.378,0,0.229,0.663,75.016,253107,4,USQY51615981,4qBgvVog0wzW75IQ48mU7v,02.12.2016,121,178229,75b7ef51-0b2c-4e86-978a-b8a98095eed7,0,1,0.178229,17.2857142857143
fall out boy,0yhPEz5KxlDwckGJaMlZqM,Centuries,69,942184,37,38.3,0.861,4,-2.816,0.0777,0.0038,0,0.11,0.481,176.084,228360,4,USUM71412644,4UXqAaa6dQYAk18Lv7PEgX,16.01.2015,807,2633423,516cef4d-0718-4007-9939-f9b38af3f784,US,1,2.633423,115.285714285714
børns,0zulYs8vHhhN0hl8wvYgdv,Electric Love,146,702689,1,37.3,0.86,6,-6.518,0.089,0.00497,0.00078,0.209,0.584,120.014,218160,4,USUM71416307,1KP6TWI40m7p3QBTU6u2xo,10.11.2014,874,303447,b2befbb4-c585-4b05-8efa-3deebc8e1385,0,1,0.303447,124.857142857143
desiigner,112lQZi5e7i8ohZ4z0e6nu,Panda,97,1135867,4,80.2,0.639,10,-7.905,0.361,0.15,0,0.37,0.354,145.276,246596,4,TCACK1576617,7pFeBzX627ff0VnN6bxPR4,15.12.2015,474,543577,05b75ee5-98cd-430e-b1ec-ec0f61fdabda,US,1,0.543577,67.7142857142857
drake,11KJSRSgaDxqydKYiD2Jew,Too Good,2,7188651,44,80.4,0.648,7,-7.805,0.117,0.0573,0.0000349,0.102,0.385,117.983,263373,4,USCM51600088,3TVXtAsR1Inumwj472S9r4,06.05.2016,331,9338926,9fff2f8a-21e6-47de-a2b8-7f449929d43f,CA,1,9.338926,47.2857142857143
flume,12REd1n8PeiHHWOh066tpr,Never Be Like You,18,3754229,38,49.4,0.559,0,-5.445,0.0565,0.436,0,0.164,0.237,119.247,233337,4,AUFF01500784,6nxWCVXbOlEVRexSbLsTer,16.01.2016,442,1001835,35fd8d42-b4a6-4414-9827-8766bd0daa3c,AU,1,1.001835,63.1428571428572
drake,12VWzyPDBCc8fqeWCAfNwR,One Dance,1,18322096,2,78.5,0.617,1,-5.871,0.0522,0.00902,0.00246,0.351,0.378,103.981,173987,4,USCM51600028,3TVXtAsR1Inumwj472S9r4,06.05.2016,331,9338926,9fff2f8a-21e6-47de-a2b8-7f449929d43f,CA,1,9.338926,47.2857142857143
rihanna,14WWzenpaEgQZlqPq2nk4v,Work,1,11535706,57,72.5,0.534,11,-6.238,0.0946,0.0752,0,0.0919,0.543,91.974,219320,4,QM5FT1600116,5pKCCKE2ajJHZ9KAiaK11H,29.01.2016,429,9687288,73e5e69d-3554-40d8-8516-00cb38737a1c,0,1,9.687288,61.2857142857143
justin bieber,150xRZE9rtvEPdedbf3y3l,Life Is Worth Living,26,2805042,9,55.8,0.296,10,-9.18,0.0427,0.907,0,0.108,0.473,76.04,234787,4,USUM71513215,1uNFoZAHBGtllmzznpCI3s,13.11.2015,506,8714022,e0140a67-e4d1-4f13-8a01-364355bee46e,CA,1,8.714022,72.2857142857143
the chainsmokers,15vzANxN8G9wWfwAJLLMCg,Paris,4,8569346,9,64.6,0.644,2,-6.763,0.031,0.0243,0,0.0888,0.26,99.999,221520,4,USQX91603031,69GGBxA162lTqCwzJG5jLp,13.01.2017,79,2287131,91a81925-92f9-4fc9-b897-93cf01226282,US,1,2.287131,11.2857142857143
tory lanez,16Ah4QqH4mgYVXqfC4mdSd,LUV,18,4254671,17,48.7,0.532,11,-8.129,0.245,0.0129,0,0.123,0.247,138.13,228640,3,USUM71604428,2jku7tDXc6XoB6MO2hFuqg,19.08.2016,226,491119,5b8ec72b-9e39-4a06-a2bf-964166b92a71,CA,1,0.491119,32.2857142857143
chris stapleton,178OI1A3qjROeFeh8lmNwW,Traveller,155,693389,1,45.4,0.731,5,-7.035,0.0302,0.0681,0.00817,0.127,0.779,176.662,222413,4,USUM71418080,4YLtscXsxbVgi031ovDDdh,04.05.2015,699,349935,71d58182-aa37-4c04-b21a-efe46ea0f221,US,1,0.349935,99.8571428571429
drake,17Q87zeXgsAi9iQQbMu9v0,Summer Sixteen,12,4023170,33,59.2,0.455,1,-7.698,0.393,0.00322,0.0000372,0.154,0.0568,146.316,202451,4,USCM51600001,3TVXtAsR1Inumwj472S9r4,01.02.2016,426,9338926,9fff2f8a-21e6-47de-a2b8-7f449929d43f,CA,1,9.338926,60.8571428571429
pentatonix,18FgkffvQN7dBgUKndmDhH,Dance of the Sugar Plum Fairy,117,935361,2,41,0.369,1,-10.24,0.0339,0.115,0.0618,0.29,0.478,150.476,126893,4,USRC11402152,26AHtbjWKiwYzsoGoUZq53,30.10.2015,520,1421284,79c67eb5-3851-4b28-bfe0-3adfcd6f58d7,US,1,1.421284,74.2857142857143
kanye west,19a3JfW8BQwqHWUMbcqSx8,Famous,75,1675695,20,47.4,0.741,6,-3.69,0.111,0.0602,0,0.115,0.429,174.1,196040,4,USUM71603020,5K4W6rqBFWDnAN6FQUkS6x,15.06.2016,291,4422939,164f0d73-1234-4e2c-8743-d77bf2191051,0,1,4.422939,41.5714285714286
ariana grande,1ADjWm8QNhgNV8yCNNgQ1T,Santa Tell Me,59,1362447,8,46.4,0.63,7,-7.337,0.182,0.0464,0,0.295,0.53,132.96,204093,5,USUM71417401,66CXWjxzNUsdJxJ2JdwvnR,24.11.2014,860,5782037,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,US,1,5.782037,122.857142857143
queen,1AhDOtG9vPSOmsWgNW0BEY,Bohemian Rhapsody - Remastered 2011,195,840234,1,41.4,0.404,0,-9.928,0.0499,0.271,0,0.3,0.232,71.105,354320,4,GBUM71029604,1dfeR4HaWDbWqFHLkxsg1d,14.03.2011,1000,3462308,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,GB,1,3.462308,142.857142857143
ariana grande,1aKsg5b9sOngINaQXbB0P7,Love Me Harder,115,707793,8,47.2,0.714,1,-4.389,0.0334,0.00937,0,0.0764,0.235,98.992,236133,4,USUM71409728,66CXWjxzNUsdJxJ2JdwvnR,25.08.2014,951,5782037,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,US,1,5.782037,135.857142857143
panic! at the disco,1BECwm5qkaBwlbfo4kpYx8,Death Of A Bachelor,54,1515396,17,46.2,0.538,0,-5.527,0.059,0.0137,0,0.429,0.385,139.256,203507,4,USAT21503696,20JZFwl6HVl6yg8a4H3ZqK,15.01.2016,443,2295240,b9472588-93f3-4922-a1a2-74082cdf9ce8,US,1,2.29524,63.2857142857143
selena gomez,1BZG99C7Co1r6QUC3zaS59,Same Old Love,9,3138526,2,67.1,0.596,11,-4.005,0.031,0.0236,0,0.228,0.444,98.025,229080,4,USUM71510437,0C8ZW7ezQVs4URX5aX7Kqx,09.10.2015,541,3865290,e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,US,1,3.86529,77.2857142857143
david bowie,1C9NuEa1wOF15EOBuWaaxS,Life On Mars? - 1999 Remastered Version,99,1012651,1,44,0.591,10,-7.859,0.0369,0.53,0.0000103,0.171,0.362,121.398,223413,4,USJT19900030,0oSGxfWSnnOXhD2fKuz2Gy,21.10.2002,1000,1719086,5441c29d-3602-4898-b1a1-b77fa23b8e50,GB,1,1.719086,142.857142857143
robin schulz,1cG0umU5TKStygKsPFZ9pY,Shed A Light,100,1617352,15,48.3,0.787,8,-5.244,0.102,0.112,0,0.257,0.556,122.058,191379,4,DEA621602181,3t5xRXzsuZmMDkQzgOX35S,25.11.2016,128,678204,163218c2-9e0f-4d2d-aecb-ebbdef6aab70,0,1,0.678204,18.2857142857143
disturbed,1Cj2vqUwlJVG27gJrun92y,The Sound Of Silence,162,884757,9,32.2,0.28,6,-9.367,0.0281,0.468,0.0000011,0.102,0.164,85.794,248467,4,USRE11500180,3TOqt5oJwL9BE2NG9MEwDa,21.08.2015,590,1157049,4bb4e4e4-5f66-4509-98af-62dbb90c45c5,US,1,1.157049,84.2857142857143
jonas blue,1CUVN2kn7mW5FjkqXTR2W1,Perfect Strangers,43,2697062,21,74.2,0.819,1,-5.307,0.0487,0.372,0,0.277,0.697,117.986,196613,4,GBUM71602437,1HBjj22wzbscIZ9sEb5dyf,03.06.2016,303,138115,17678771-5799-4017-851a-319f25b6948d,GB,1,0.138115,43.2857142857143
childish gambino,1D1oE9i8sxo8fJ1Jbgr3Ys,Terrified,94,1686469,1,46.6,0.411,0,-10.892,0.0548,0.414,0.528,0.0973,0.106,140.041,255467,4,USYAH1600109,73sIBHcqh3Z3NyqHKZ7FOL,02.12.2016,121,1745714,7fb57fba-a6ef-44c2-abab-2fa3bdee607e,US,1,1.745714,17.2857142857143
the chainsmokers,1dNIEtp7AY3oDAKCGg2XkH,Something Just Like This,2,8955829,4,60.7,0.649,11,-6.695,0.0362,0.0306,0.0000246,0.174,0.47,102.996,247627,4,USQX91700278,69GGBxA162lTqCwzJG5jLp,22.02.2017,39,2287131,91a81925-92f9-4fc9-b897-93cf01226282,US,1,2.287131,5.57142857142857
justin bieber,1ds2QsfhAAfRiaFMGDzrdb,What Do You Mean?,1,9057256,11,84.2,0.564,5,-8.042,0.105,0.617,0.00024,0.0912,0.795,124.984,207547,4,USUM71511919,1uNFoZAHBGtllmzznpCI3s,13.11.2015,506,8714026,e0140a67-e4d1-4f13-8a01-364355bee46e,CA,1,8.714026,72.2857142857143
