"tv_adspend"	"online_adspend"	"radio_adspend"	"sales"
108.3	34.1	22	13.5
48.5	40.8	6	14.4
144.9	15.2	29	9.7
284.9	45.4	27	21.2
225.7	35.8	44	19.9
161.5	22.3	13	14.9
193	36.3	11	17.8
74.2	22.7	45	10.3
52.8	28.5	6	10.7
199	5.9	35	14.9
86.1	33.5	45	15.7
159.9	21.2	14	15.5
150.8	49.6	33	21.3
202.6	35.6	11	19.9
193	9.6	33	12.9
153.8	14.1	43	16.3
83.6	6.7	30	9.4
61.6	32	45	10.2
250.8	15.4	30	18.3
154.4	30.8	35	16.2
181.3	63.8	16	26.5
150.8	47.1	30	15.2
200.4	22.8	18	12.3
253.6	42.3	21	21.4
114.4	33.7	23	15.4
215.8	38.1	27	21
205.2	6.8	27	13
288.6	43.8	32	23.6
22.3	43.7	42	10.1
130.3	15.2	8	7.7
195.7	36.2	31	20
235.4	30	19	22
148.1	8	15	16.6
3.7	32.7	15	12.1
54.6	9.2	22	7.3
103.3	20.5	29	9.5
210.1	58.3	25	25.4
137.7	35.8	33	14.1
216.7	18.2	4	18.9
107.3	22.4	14	13.3
197.5	37.5	35	17.7
95.6	43.8	16	18.9
170.3	14.6	42	11.7
202.8	44.4	5	21.8
40.2	17.1	40	6.6
115.5	14.6	15	12.6
140.4	33.7	43	12.7
93.8	43.9	34	12.8
57.6	14.3	11	5
150.1	25.4	21	12.2
143.3	45.2	17	17.8
229.5	53	28	24.6
37.5	29.6	35	11.3
257.9	25.9	22	19
31.2	23.2	27	6.2
93.7	14.4	48	8.9
93.4	49.5	45	15
247.6	14.7	28	16.9
32.7	21.7	16	6.2
81.6	31.7	30	14.5
22.5	54.8	37	13.6
43.2	25.4	32	12.7
75.4	27.1	16	13.2
12.3	35.8	31	8.9
114.1	2.8	9	7.3
239	29.3	16	17.4
168.5	33.3	24	14.5
83.4	10	31	6.4
23.4	4.6	31	4.6
297.4	32.6	36	20.3
83.2	20.7	22	10.5
226.6	2.7	58	13.9
165.2	13	15	13.3
146.3	18.1	3	15.4
211.4	11.6	10	17.2
259.8	11.2	34	20.6
114.3	37.9	44	15.9
128	21.2	47	18.1
294.7	21.6	30	19.1
229.6	39.5	23	23.1
201	28.6	30	16.6
42.4	10.3	42	6.5
148.4	8.8	45	8.4
146.2	20.5	31	12.1
79.1	27.5	13	10.4
252.2	10.3	29	17.9
241.5	38.9	46	21.9
257.7	10.2	18	13.1
265.2	14.4	1	18.1
92.6	6.5	29	7.3
168.4	34.4	29	20.2
107.5	19.8	11	11.7
292.3	22.1	13	20
48.1	32.9	21	10.7
65.1	1.9	52	7
25.6	7.8	23	6.9
160.3	30.5	26	17.6
201.7	14.2	46	13.5
50.9	12.7	20	8.1
283.7	25.1	2	23.5
178.7	9.5	5	14.3
171.7	10.2	9	11
220.2	22.3	32	16.9
96.8	21	7	11.2
254.3	64.4	43	25.3
154.8	17.1	16	12.6
37.3	15.3	17	6.8
32.2	18.5	18	10.6
226.2	28	55	21
234.8	46.3	30	23.7
181.7	11.3	37	12.2
70.3	14	57	7.2
204.5	31.2	27	19.1
44.5	3.5	29	4.3
130.4	37	57	16.6
232.2	20.8	28	19.5
164.8	20.8	46	18.5
289.3	21.9	13	18.1
189.5	25.3	15	15.4
151.4	17.6	22	14
173.6	21.2	25	13.7
109.3	25.1	21	12.6
96.8	32.3	27	12
62.8	37.5	62	13
70.3	28	2	10.9
89.3	38.3	27	14.2
88.2	21.1	22	12.4
2.9	35.4	52	11
