"tv_adspend"	"online_adspend"	"radio_adspend"	"sales"
114.1	17.3	16	14.7
130.5	30.9	38	15
169.2	27.2	17	14.4
214.6	45.4	25	20.3
163	10.1	16	11.8
145	22.2	51	12.6
33.5	23.6	15	5.5
288.4	18.2	23	21.7
57.9	8.9	13	8.6
137.5	52.7	23	18.4
245.9	56.7	17	28
183.8	24.5	47	14.4
296.6	12.5	44	21.6
95.9	2.3	46	8.4
225.4	4.6	7	12
232.1	38.6	34	19.3
209.3	15.9	31	15.6
294.6	35.3	19	24.2
56	68.5	26	17.7
161.6	30.3	12	18.8
194.1	36.4	34	22.4
124.4	27.7	24	14
177.1	18.1	35	17.7
239	24	3	17.9
272.6	25.6	43	17.8
94	44.8	28	20.3
87.7	40	34	15.1
176.8	53.7	18	18.7
249.5	4.9	50	16.5
245.3	37	21	22.5
154.9	29.5	35	17.2
257.3	67.7	18	25.2
192.2	44.7	24	19.2
163.5	50	25	19.5
237	31.5	7	17.2
231.1	40.1	22	20.6
42.8	11.7	31	9.1
38.7	18.7	14	8
215.2	8.8	14	13.8
63.5	17.6	31	8
240.8	22.2	30	19.2
59.5	46.1	43	12.7
221.3	25.1	28	17.2
88.8	66.6	26	24.2
213.7	21.5	23	17.1
47	31.7	31	11.7
6.1	34.1	23	6.5
69.9	38.1	39	15.4
132	60.8	13	19.2
190.4	54.4	11	21.3
82.8	13	29	12.6
43.9	7.2	22	8
190.2	26	37	19.1
169.2	26.9	3	15.4
133.1	27.3	37	14.2
15.7	10.2	26	1.2
224.9	21.1	38	17.3
225.6	36	14	20.8
60.3	45	30	13.9
244.5	27.2	25	24.3
292.1	4.1	17	16.2
7.4	55	30	13
155	25.5	1	11.2
244.6	29.6	4	14.2
278.6	34.1	6	23.6
211.5	43.3	7	22.1
285	29.3	35	21
101.9	24.9	9	10.7
72.7	30.3	21	12.5
219.6	14.9	35	14.7
195.6	31.5	39	16.8
216.1	42.4	28	16.5
217.2	44.5	37	21.9
219.3	21.8	30	18.1
224	35.9	33	17.7
152.7	2.4	36	10.1
53.3	12.5	31	7.6
56.4	16.1	51	8.9
286.8	46.6	24	21
95.6	13.3	18	9.7
190.7	12.1	30	10.5
208	16.4	37	16.9
195	19.5	8	14.2
210.9	28.4	10	17.4
67.9	62.5	29	14
32.6	0.5	4	1
196.4	20.4	43	14
38.7	35.4	14	5.8
220	42.4	43	23.2
107.8	30.1	23	8.8
200.8	47.9	27	21
145.6	15.3	23	10.3
184.7	27.6	32	18.5
88.7	38.2	35	18.8
121.2	26.4	44	16
73.5	29.5	4	15
40.2	17.7	13	12.6
97.3	21.1	17	8.8
252.9	50.5	20	24.6
84.2	24.6	17	9.9
67.1	32.8	24	12.8
145.6	22	2	12.2
81.6	33.3	7	16.3
25.3	19.9	24	8.6
166.8	41.5	58	17.8
96	9.4	30	10.7
192.3	32	16	17.6
233.2	26.3	62	18.7
239.9	27.8	10	20.3
22.6	23	29	10.2
274.7	35.8	39	20.4
88.7	3.1	11	6
214.6	26	18	19.6
293.2	14.9	15	18
79.8	11.5	39	12.3
299.7	18.7	18	20
265.2	27	40	20.9
166.7	23.1	32	16.6
180.6	43.8	24	19.4
40.6	32.9	34	13.2
152.7	24.2	37	14.1
53.5	38.9	20	12.7
268.8	21.9	32	18.6
55.4	17.9	20	10.8
126.1	19.5	19	10.8
80	33.4	31	13
224	19.7	14	17
170.9	38.1	47	19.2
229.3	34.7	54	19.1
111.6	19.5	41	11
66.1	30.8	25	14.4
222.9	20.6	20	16
16.5	46.5	48	13.6
195.2	25.9	12	15.4
208	16.9	30	18.6
244	28.6	8	20.8
55.6	39.8	25	14.1
72.3	33.8	18	14.3
259.8	16.2	45	19.7
236.3	46.5	6	27.3
293.6	40.9	44	20.9
292.6	14.8	19	18.4
158	13.9	16	11.4
240.7	18.5	47	16.5
3.1	13.9	3	4.6
141.9	13.1	16	14.3
161.1	6.5	41	12.5
123.3	45.1	41	18.6
5.6	23.3	48	9.5
268.2	50.9	14	25.1
88	29.4	19	9
127.5	27.4	20	16.8
240.4	35.9	21	19.2
22.9	24	5	8.1
287.4	21.6	17	20
11	1	32	6
111.1	46.5	34	13.5
