"tv_adspend"	"online_adspend"	"radio_adspend"	"sales"
240	8.5	33	16.6
117.6	27.4	26	16.8
75.3	6.4	33	6.8
247.2	10.8	6	17.6
271.8	27	33	22.1
268.3	11	51	17.7
286.8	9.4	25	15.6
134.3	7.3	17	9.3
298.5	26.6	16	20.4
161.9	17.1	31	11.2
250.8	38	17	19.7
56.1	23.1	42	7.9
171.8	12	17	11.4
114.6	4	26	9.7
168.4	8.3	9	12
37.3	31.4	25	10.1
222.7	16.5	28	16.7
70.4	33.5	32	14.1
290.5	16.8	37	22.3
210.3	17.5	15	9.9
297	8.2	23	19.5
107.8	20	34	12
84.6	22	21	12
146.2	47.4	37	19.2
130.9	22.1	13	15.6
68.6	14.5	31	11
137.9	40.2	45	15.2
19.7	23.8	16	6.6
60	40.5	37	14.7
251.4	39.2	44	21.7
188.3	11.2	10	15.7
118.5	24.3	23	12.4
48.4	8.1	36	5.6
14.8	39	46	12.1
46.7	25.9	58	12.9
289.5	20.7	4	22.2
287.9	25.6	2	23.3
214.7	39.7	15	19.4
101.4	7.7	4	11.6
109	19.5	19	8.7
111.4	58.4	29	20.9
138.8	22.7	4	14.1
1.4	19	17	8
281.1	33	25	21.1
227.5	20	17	18.5
260.2	28	54	19.5
145.3	6.1	1	11.8
174.7	8.3	21	14.5
191.6	2.8	22	14.1
123.4	56.3	2	17
143.6	17.6	37	15
109.8	20.5	30	15.3
232.6	55.5	17	23.5
83.1	33.8	36	12
7	19.2	41	5.6
176.3	32.7	42	18.5
153.3	54.1	45	22.1
176.9	21.2	19	13.7
263.3	22.7	29	19.8
180.5	16.9	16	17.2
106.8	6.3	34	6.8
229.3	32.5	24	19.7
197.8	11.5	49	12.9
25.8	22.1	38	7.9
30.4	10.8	33	2.4
180.8	21.9	28	16.4
216.6	27.4	28	18.7
131.1	4	42	9.3
87	26	41	13.4
113.2	26.6	14	13.7
135.5	27.1	28	15.7
246.9	12.9	48	18.6
81.8	22.9	25	12.6
48.8	20.6	37	8.4
295.9	43.9	28	22.2
148.5	5.7	34	9.8
89.9	26.7	22	11.9
51.4	15.2	17	7.2
210.9	31.9	16	15.7
14.3	12.8	27	6.1
193.6	51	38	21.1
51.1	12.5	56	6.4
243.5	11	25	16.4
272.9	7.1	5	18.5
223.3	12.5	20	14.8
213.1	70.3	22	25.2
122.2	14.9	17	10.5
177.4	3.4	5	14.2
286.1	12.2	13	21.2
132.4	13	32	13.4
60.2	34.7	4	9.9
29.1	17.7	37	2.4
66.4	1.9	8	5.2
177	28.1	29	17.4
241.2	9.1	36	13.2
192.6	69.2	36	26.6
190.5	21.3	16	13.6
79.2	28.8	11	13.5
289.8	54.1	15	28
40.6	45.9	28	12.1
286.6	33.6	25	27.3
283.7	35.7	16	19.9
49.7	12.2	41	8.1
282.1	17.4	43	17.7
25.5	35.7	37	7.2
19.6	38.3	9	13.1
263.8	40.5	19	24.6
143.9	4.9	24	8.6
122.2	24.7	20	16.3
235.6	26.4	4	14.6
203.8	16.6	15	12.5
81.8	37.7	15	11.4
75.1	11.1	30	6.8
17.8	9.2	16	7.7
