"tv_adspend"	"online_adspend"	"radio_adspend"	"sales"
254.5	32.3	41	20.3
196.2	42.8	17	19.9
173.2	36.4	22	19.5
156.6	45.4	27	16.5
276.6	46.6	24	23.1
294.2	19.1	34	21.2
13.2	7.4	24	2.8
202.9	8	24	16.5
41.9	31.5	32	13.3
53.8	52.7	28	14.5
69.9	42.4	31	14.1
211.5	17	27	14.6
224.9	23.6	29	17.4
81.1	20.4	30	11.2
297.8	35.9	40	21
155.5	23	30	14.8
299.1	21.2	27	19.8
148.9	21	14	15.1
113.8	48.3	3	16.9
17.1	4.6	56	6.7
19.8	10.4	22	7.5
252	33.3	20	21.4
41.3	23.2	49	9.5
4	3.3	59	5.5
182.8	38.6	12	21
3.4	6.3	21	6
123.5	25.5	45	11.1
229.8	33.7	31	19.6
39.8	24.5	32	8.7
283.3	33.8	25	21.1
234.1	17.7	31	15.9
271.7	33.9	47	23.3
124.4	44.2	24	13.1
175.5	13.2	59	16.9
121.6	13.1	20	9.1
179	38.2	11	17.6
82.4	31.2	8	13
85.7	9.2	24	8.8
286.7	27.5	46	24
155.9	61.7	8	19.7
285.9	35.7	42	22.6
251	24.8	19	20.6
177.4	23	19	14.5
284.4	15.4	9	17.1
183.9	13	32	14.1
87.7	16.7	29	14.3
262.3	17.6	21	16.9
41.3	31.6	21	10.3
278.5	7.2	29	20.4
55.3	8.4	22	8.2
127.6	40.6	13	12.8
124	32.6	9	14.9
293.9	21.8	12	19
186.1	9.1	1	13.2
226.6	2.9	17	12.3
273	32.6	5	19.8
40.1	9.4	40	7.1
285.6	25.8	4	18.9
47.3	50.6	29	15.2
111.5	21.4	12	13.1
4	9.2	10	1.5
11	39	34	14.3
271.3	34.2	35	24.3
159.8	37.5	18	16.8
225.9	33.4	20	16.3
251.3	59.4	28	25.1
271.5	8.8	45	18.4
8.3	40.8	18	12.3
96.2	41.1	15	11.2
146	41.5	24	18
101.7	21	55	11.7
45.4	26.7	35	7.2
281.7	11.1	45	18.9
46.8	27.1	9	10.7
99	21.2	28	11.3
84.6	46	27	20.4
143	8.1	23	8.8
108.3	17.2	41	9.6
202.4	39.1	12	24.1
193.6	24.9	36	17.7
14.2	15.7	9	6
103.8	21.6	46	14
109.8	22.7	35	11.6
182.3	14.1	18	14.2
107.8	30.7	47	17.2
207.8	21.2	19	15.1
209.2	13.5	2	15.7
265.8	30.5	16	22.7
289.1	12.9	15	16.1
48.5	41.1	13	14.8
209.6	5.9	16	12.6
240.4	10.7	43	17.3
30	17.4	41	10.5
94.5	4.8	21	12.9
60.3	1.7	39	8.1
15.6	29.3	26	10.1
39.8	14.8	17	6.7
106.6	22.8	6	9.9
257.8	22.6	29	16.8
257.6	38.1	20	20.1
273	12.7	31	18.5
178.6	27.2	17	16.8
67.9	10.8	47	8.8
119.9	4.3	28	8.2
53.8	34.1	20	9.3
184.5	3.3	17	13.8
63.8	48.7	21	15.6
262.9	46.6	5	27.4
61.5	19.9	24	8.9
38.5	29.3	11	11.3
30.1	16.6	46	9.4
283.8	15.4	10	20.2
287	48.2	30	24.7
188.4	37.7	40	17
6	39.3	20	10.3
173.6	10.7	10	13.6
218.3	9.1	45	17.6
88.9	32.5	20	12.6
134.3	6.1	17	9.8
72.1	12.9	35	7.1
5.4	18.5	32	6.1
66	44.8	24	15.5
54.3	14.1	37	8.3
227.9	12.3	61	17.9
260.3	11	4	16.8
119.4	17.3	3	9.3
168.4	13	27	13.8
130.2	18.4	22	14.1
65.9	25.7	21	11.2
235.9	34.9	41	19.5
187.5	6.7	21	11.1
137.1	47.2	39	18.7
249.2	7.1	13	15.2
67.8	23.2	23	8.9
298.4	19.5	7	18.6
82.5	40.6	29	14
194.7	32.8	20	15.5
266.3	21	33	20.3
296.9	58.2	33	22
